SO Name,SHEDL ACS collection 2012-2012,,,,,,,,,,,,,,,,,,,
SO Identifier,ACS_collection_2012-2012_shedl,,,,,,,,,,,,,,,,,,,
Provider,American Chemical Society,,,,,,,,,,,,,,,,,,,
Package Identifier,Web Editions,,,,,,,,,,,,,,,,,,,
Package Name,ACS Web Editions,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,SHEDL,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Journal of Proteome Research ,1535-3893 ,1535-3907 ,2002,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/jprobs/index.html ,ACS Publications,administrative,
Journal of the American Chemical Society ,0002-7863 ,1520-5126 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/jacsat/index.html ,ACS Publications,administrative,
Langmuir ,0743-7463 ,1520-5827 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/langd5/index.html ,ACS Publications,administrative,
Macromolecules ,0024-9297 ,1520-5835 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/mamobx/index.html ,ACS Publications,administrative,
Molecular Pharmaceutics ,1543-8384,1543-8392 ,2004,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/mpohbp/index.html ,ACS Publications,administrative,
Nano Letters ,1530-6984 ,1530-6992 ,2001,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/nalefd/index.html ,ACS Publications,administrative,
Organic Letters ,1523-7060 ,1523-7052 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/orlef7/index.html ,ACS Publications,administrative,
Organic Process Research & Development ,1083-6160 ,1520-586X ,1997,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/oprdfk/index.html ,ACS Publications,administrative,
Organometallics ,0276-7333 ,1520-6041 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/orgnd7/index.html ,ACS Publications,administrative,
The Journal of Organic Chemistry ,0022-3263 ,1520-6904 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/joceah/index.html ,ACS Publications,administrative,
The Journal of Physical Chemistry A ,1089-5639 ,1520-5215 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/jpcafh/index.html ,ACS Publications,administrative,
The Journal of Physical Chemistry B ,1520-6106 ,1520-5207 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/jpcbfk/index.html ,ACS Publications,administrative,
The Journal of Physical Chemistry C ,1932-7447 ,1932-7455 ,1996,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/jpccck/index.html ,ACS Publications,administrative,
The Journal of Physical Chemistry Letters,,1948-7185,2010,,,,,,,,fulltext,,American Chemical Society,,ACS Publications,host,http://pubs.acs.org/journal/jpclcd/index.html,ACS Publications,administrative,
