SO Name,NESLI2 Walter De Gruyter SMP 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,degruyter_collection_2012_2012_nesli2,,,,,,,,,,,,,,,,,,,
Provider,Walter De Gruyter,,,,,,,,,,,,,,,,,,,
Package Identifier,SMP,,,,,,,,,,,,,,,,,,,
Package Name,SMP,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,1,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Journal of Non-Equilibrium Thermodynamics,,1437-4358,1998,,,,,,jnetdy,,full text,,De Gruyter,http://dx.doi.org/10.1515/jnetdy,De Gruyter Online,host,http://dx.doi.org/10.1515/jnetdy,,,
Laboratoriumsmedizin,,1439-0477,1998,,,,,,jlm,,full text,,De Gruyter,http://dx.doi.org/10.1515/jlm,De Gruyter Online,host,http://dx.doi.org/10.1515/jlm,,,
PIK - Praxis der Informationsverarbeitung und Kommunikation,,1865-8342,1998,,,,,,piko,,full text,,De Gruyter,http://dx.doi.org/10.1515/piko,De Gruyter Online,host,http://dx.doi.org/10.1515/piko,,,
Journal of Optical Communications,,2191-6322,1998,,,,,,joc,,full text,,De Gruyter,http://dx.doi.org/10.1515/joc,De Gruyter Online,host,http://dx.doi.org/10.1515/joc,,,
Reviews in Analytical Chemistry,,2191-0189,1998,,,,,,revac,,full text,,De Gruyter,http://dx.doi.org/10.1515/revac,De Gruyter Online,host,http://dx.doi.org/10.1515/revac,,,
Rhetorik,,1865-9160,1998,,,,,,rhet,,full text,,De Gruyter,http://dx.doi.org/10.1515/rhet,De Gruyter Online,host,http://dx.doi.org/10.1515/rhet,,,
Text & Talk,,1860-7349,1998,,,,,,text ,,full text,,De Gruyter,http://dx.doi.org/10.1515/text ,De Gruyter Online,host,http://dx.doi.org/10.1515/text ,,,
The Linguistic Review,,1613-3676,1998,,,,,,tlir ,,full text,,De Gruyter,http://dx.doi.org/10.1515/tlir ,De Gruyter Online,host,http://dx.doi.org/10.1515/tlir ,,,
Multilingua,,1613-3684,1998,,,,,,mult ,,full text,,De Gruyter,http://dx.doi.org/10.1515/mult ,De Gruyter Online,host,http://dx.doi.org/10.1515/mult ,,,
Zeitschrift f¸r Sprachwissenschaft,,1613-3706,1998,,,,,,zfsw ,,full text,,De Gruyter,http://dx.doi.org/10.1515/zfsw ,De Gruyter Online,host,http://dx.doi.org/10.1515/zfsw ,,,
