SO Name,NESLI2 SAGE Premier 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,SAGE_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,SAGE,,,,,,,,,,,,,,,,,,,
Package Identifier,SAGE Premier,,,,,,,,,,,,,,,,,,,
Package Name,SAGE Premier,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Assessment for Effective Intervention,1534-5084,1938-7458,1999-01,25,1,,,,aei,,full text,,SAGE,,SAGE Journals,host,http://aei.SAGEpub.com/,Highwire,administrative,
Behavior Modification,0145-4455,1552-4167,1999-01,23,1,,,,bmo,,full text,,SAGE,,SAGE Journals,host,http://bmo.SAGEpub.com/,Highwire,administrative,
BMS: Bulletin of Sociological Methodology/Bulletin de Méthodologie Sociologique,0759-1063,2070-2779,1999-01,61,1,,,,bms,,full text,,SAGE,,SAGE Journals,host,http://bms.SAGEpub.com/,Highwire,administrative,
British Journal of Visual Impairment,0264-6196,1744-5809,1999-01,17,1,,,,jvi,,full text,,SAGE,,SAGE Journals,host,http://jvi.SAGEpub.com/,Highwire,administrative,
British Journalism Review,0956-4748,1741-2668,1999-01,10,1,,,,bjr,,full text,,SAGE,,SAGE Journals,host,http://bjr.SAGEpub.com/,Highwire,administrative,
Building Services Engineering Research and Technology,0143-6244,1477-0849,1999-01,20,1,,,,bse,,full text,,SAGE,,SAGE Journals,host,http://bse.SAGEpub.com/,Highwire,administrative,
Bulletin of the Atomic Scientists,0096-3402,0096-3402,1999-01,55,1,,,,bos,,full text,,SAGE,,SAGE Journals,host,http://bos.SAGEpub.com/,Highwire,administrative,
Business Communication Quarterly,0021-9435,1552-4191,1999-01,62,1,,,,bcq,,full text,,SAGE,,SAGE Journals,host,http://bcq.SAGEpub.com/,Highwire,administrative,
Capital & Class,0309-8168,2041-0980,1999-01,23,1,,,,cnc,,full text,,SAGE,,SAGE Journals,host,http://cnc.SAGEpub.com/,Highwire,administrative,
Career Development for Exceptional Individuals,0885-7288,1557-5047,1999-01,22,1,,,,cde,,full text,,SAGE,,SAGE Journals,host,http://cde.SAGEpub.com/,Highwire,administrative,
Cephalalgia,0333-1024,1468-2982,1999-01,19,1,,,,cep,,full text,,SAGE,,SAGE Journals,host,http://cep.SAGEpub.com/,Highwire,administrative,
China Information,0920-203X,1741-590X,1999-01,13,4,,,,cin,,full text,,SAGE,,SAGE Journals,host,http://cin.SAGEpub.com/,Highwire,administrative,
Clinical and Applied Thrombosis/Hemostasis,1076-0296,1938-2723,1999-01,5,1,,,,cat,,full text,,SAGE,,SAGE Journals,host,http://cat.SAGEpub.com/,Highwire,administrative,
Clinical Child Psychology and Psychiatry,1359-1045,1461-7021,1999-01,4,1,,,,ccp,,full text,,SAGE,,SAGE Journals,host,http://ccp.SAGEpub.com/,Highwire,administrative,
Clinical Pediatrics,0009-9228,1938-2707,1999-01,38,1,,,,cpj,,full text,,SAGE,,SAGE Journals,host,http://cpj.SAGEpub.com/,Highwire,administrative,
Clinical Rehabilitation,0269-2155,1477-0873,1999-01,13,1,,,,cre,,full text,,SAGE,,SAGE Journals,host,http://cre.SAGEpub.com/,Highwire,administrative,
Clothing and Textiles Research Journal,0887-302X,1940-2473,1999-01,17,1,,,,ctr,,full text,,SAGE,,SAGE Journals,host,http://ctr.SAGEpub.com/,Highwire,administrative,
Communication Disorders Quarterly,1525-7401,1538-4837,1999-01,20,2,,,,cdq,,full text,,SAGE,,SAGE Journals,host,http://cdq.SAGEpub.com/,Highwire,administrative,
Compensation & Benefits Review,0886-3687,1552-3837,1999-01,31,1,,,,cbr,,full text,,SAGE,,SAGE Journals,host,http://cbr.SAGEpub.com/,Highwire,administrative,
Conflict Management and Peace Science,0738-8942,1549-9219,1999-01,17,1,,,,cmp,,full text,,SAGE,,SAGE Journals,host,http://cmp.SAGEpub.com/,Highwire,administrative,
Crime & Delinquency,0011-1287,1552-387X,1999-01,45,1,,,,cad,,full text,,SAGE,,SAGE Journals,host,http://cad.SAGEpub.com/,Highwire,administrative,
Critical Sociology,0896-9205,1569-1632,1999-01,25,1,,,,crs,,full text,,SAGE,,SAGE Journals,host,http://crs.SAGEpub.com/,Highwire,administrative,
Cultural Geographies,1474-4740,1477-0881,1999-01,6,1,,,,cgj,,full text,,SAGE,,SAGE Journals,host,http://cgj.SAGEpub.com/,Highwire,administrative,
Current Sociology,0011-3921,1461-7064,1999-01,47,1,,,,csi,,full text,,SAGE,,SAGE Journals,host,http://csi.SAGEpub.com/,Highwire,administrative,
Discourse & Society,0957-9265,1460-3624,1999-01,10,1,,,,das,,full text,,SAGE,,SAGE Journals,host,http://das.SAGEpub.com/,Highwire,administrative,
Education and Urban Society,0013-1245,1552-3535,1999-01,31,2,,,,eus,,full text,,SAGE,,SAGE Journals,host,http://eus.SAGEpub.com/,Highwire,administrative,
Educational Evaluation and Policy Analysis,0162-3737,1935-1062,1999-01,21,1,,,,epa,,full text,,SAGE,,SAGE Journals,host,http://epa.SAGEpub.com/,Highwire,administrative,
Educational Management Administration & Leadership,1741-1432,1741-1440,1999-01,27,1,,,,ema,,full text,,SAGE,,SAGE Journals,host,http://ema.SAGEpub.com/,Highwire,administrative,
Educational Policy,0895-9048,1552-3896,1999-01,13,1,,,,epx,,full text,,SAGE,,SAGE Journals,host,http://epx.SAGEpub.com/,Highwire,administrative,
Educational Researcher  ,0013-189X,1935-102X,1999-01,28,1,,,,edr,,full text,,SAGE,,SAGE Journals,host,http://edr.SAGEpub.com/,Highwire,administrative,
Environment and Behavior,0013-9165,1552-390X,1999-01,31,1,,,,eab,,full text,,SAGE,,SAGE Journals,host,http://eab.SAGEpub.com/,Highwire,administrative,
European History Quarterly,0265-6914,1461-7110,1999-01,29,1,,,,ehq,,full text,,SAGE,,SAGE Journals,host,http://ehq.SAGEpub.com/,Highwire,administrative,
European Journal of Cultural Studies,1367-5494,1460-3551,1999-01,2,1,,,,ecs,,full text,,SAGE,,SAGE Journals,host,http://ecs.SAGEpub.com/,Highwire,administrative,
European Urban and Regional Studies,0969-7764,1461-7145,1999-01,6,1,,,,eur,,full text,,SAGE,,SAGE Journals,host,http://eur.SAGEpub.com/,Highwire,administrative,
Evaluation,1356-3890,1461-7153,1999-01,5,1,,,,evi,,full text,,SAGE,,SAGE Journals,host,http://evi.SAGEpub.com/,Highwire,administrative,
Expository Times,0014-5246,1745-5308,1999-01,110,4,,,,ext,,full text,,SAGE,,SAGE Journals,host,http://ext.SAGEpub.com/,Highwire,administrative,
