SO Name,NESLI2 Project muse 2012-2013,,,,,,,,,,,,,,,,,,,
SO Identifier,project muse_standard collection_2012-2013_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,PROJECT MUSE,,,,,,,,,,,,,,,,,,,
Package Identifier,Standard collection,,,,,,,,,,,,,,,,,,,
Package Name,Standard collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Asian Theatre Journal,0742-5457,1527-2109,1999,16,2,,,,,,,,University of Hawai'i Press,,Project muse,host,http://muse.jhu.edu/journals/asian_theatre_journal,Project muse,administrative,
Biography,0162-4962,1529-1456,1978,1,1,,,,,,,,University of Hawai'i Press,,Project muse,host,http://muse.jhu.edu/journals/biography,Project muse,administrative,
Black Music Research Journal,0276-3605,1946-1615,2010,30,1,,,,,,,,University of Illinois Press,,Project muse,host,http://muse.jhu.edu/journals/black_music_research_journal,Project muse,administrative,
Book History,1098-7371,1529-1499,1998,1,,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/book_history,Project muse,administrative,
boundary 2,0190-3659,1527-2141,1999,26,3,2004,,,,,,,Duke University Press,,Project muse,host,http://muse.jhu.edu/journals/boundary,Project muse,administrative,
Brookings Papers on Economic Activity,0007-2303,1533-4465,2000,,1,,,,,,,,Brookings Institution Press,,Project muse,host,http://muse.jhu.edu/journals/brookings_papers_on_economic_activity,Project muse,administrative,
Brookings Papers on Education Policy,1096-2719,1533-4457,2000,,,,,,,,,,Brookings Institution Press,,Project muse,host,http://muse.jhu.edu/journals/brookings_papers_on_education_policy,Project muse,administrative,
Brookings Trade Forum,1520-5479,1534-0635,2000,,,2008,,,,,,,Brookings Institution Press,,Project muse,host,http://muse.jhu.edu/journals/brookings_trade_forum,Project muse,administrative,
Brookings-Wharton Papers on Financial Services,1098-3651,1533-4430,2000,,,,,,,,,,Brookings Institution Press,,Project muse,host,http://muse.jhu.edu/journals/brookings-wharton_papers_on_financial_services,Project muse,administrative,
Brookings-Wharton Papers on Urban Affairs,1528-7084,1533-4449,2000,,,,,,,,,,Brookings Institution Press,,Project muse,host,http://muse.jhu.edu/journals/brookings-wharton_papers_on_urban_affairs,Project muse,administrative,
Buddhist-Christian Studies,0882-0945,1527-9472,1999,19,,,,,,,,,University of Hawai'i Press,,Project muse,host,http://muse.jhu.edu/journals/buddhist-christian_studies,Project muse,administrative,
Bulletin of the History of Medicine,0007-5140,1086-3176,1996,70,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/bulletin_of_the_history_of_medicine,Project muse,administrative,
Callaloo,0161-2492,1080-6512,1995,18,1,,,,,,,,The Johns Hopkins University Press,,Project muse,host,http://muse.jhu.edu/journals/callaloo,Project muse,administrative,
Camera Obscura,0270-5346,1529-1510,2000,15,1,2004,,,,,,,Duke University Press,,Project muse,host,http://muse.jhu.edu/journals/camera_obscura,Project muse,administrative,
The Canadian Historical Review,0008-3755,1710-1093,2004,85,1,,,,,,,,University of Toronto Press,,Project muse,host,http://muse.jhu.edu/journals/canadian_historical_review,Project muse,administrative,
Canadian Journal of Criminology and Criminal Justice,1707-7753,1911-0219,,48,1,,,,,,,,University of Toronto Press,,Project muse,host,http://muse.jhu.edu/journals/canadian_journal_of_criminology_and_criminal_justice,Project muse,administrative,
The Canadian Journal of Linguistics / La revue canadienne de linguistique,0008-4131,1710-1115,2003,48,1,,,,,,,,University of Toronto Press,,Project muse,host,http://muse.jhu.edu/journals/canadian_journal_of_linguistics,Project muse,administrative,
Canadian Journal of Philosophy,0045-5091,1911-0820,2006,36,1,,,,,,,,Canadian Journal of Philosophy,,Project muse,host,http://muse.jhu.edu/journals/canadian_journal_of_philosophy,Project muse,administrative,
