SO Name,SHEDL Project Muse Social Science collection 2012-2013,,,,,,,,,,,,,,,,,,,
SO Identifier,project muse_socialscience collection_2012-2013_shedl,,,,,,,,,,,,,,,,,,,
Provider,Project Muse ,,,,,,,,,,,,,,,,,,,
Package Identifier,Social Science collection,,,,,,,,,,,,,,,,,,,
Package Name,Social Science collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,SHEDL,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Demography,0070-3370,1533-7790,2000,37,4,,2010,,,,,,Population Association of America,,Project Muse ,host,http://muse.jhu.edu/journals/demography,Project Muse ,administrative,
Diaspora: A Journal of Transnational Studies,1044-2057,1911-1568,1991,1,1,,,,,,,,University of Toronto Press,,Project Muse ,host,http://muse.jhu.edu/journals/diaspora_a_journal_of_transnational_studies,Project Muse ,administrative,
e-Service Journal,1528-8226,1528-8234,2001,1,1,,,,,,,,Indiana University Press,,Project Muse ,host,http://muse.jhu.edu/journals/eservice_journal,Project Muse ,administrative,
Eastern Africa Social Science Research Review,1027-1775,1684-4173,2002,18,1,,,,,,,,Organization for Social Science Research in Eastern and Southern Africa,,Project Muse ,host,http://muse.jhu.edu/journals/eastern_africa_social_science_research_review,Project Muse ,administrative,
Economía,1529-7470,1533-6239,2000,1,1,,,,,,,,Brookings Institution Press,,Project Muse ,host,http://muse.jhu.edu/journals/economia,Project Muse ,administrative,
Enterprise & Society,1467-2227,1467-2235,2005,4,1,,,,,,,,Oxford University Press,,Project Muse ,host,http://muse.jhu.edu/journals/enterprise_and_society,Project Muse ,administrative,
Feminist Formations,2151-7363,2151-7371,1999,11,2,,,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/feminist_formations,Project Muse ,administrative,
Feminist Teacher,0882-4843,1934-6034,2007,18,1,,,,,,,,University of Illinois Press,,Project Muse ,host,http://muse.jhu.edu/journals/feminist_teacher,Project Muse ,administrative,
French Colonial History,1539-3402,1543-7787,2002,1,,,,,,,,,Michigan State University Press,,Project Muse ,host,http://muse.jhu.edu/journals/french_colonial_history,Project Muse ,administrative,
The Future of Children,1054-8289,1550-1558,2005,15,1,,,,,,,,Princeton University,,Project Muse ,host,http://muse.jhu.edu/journals/future_of_children,Project Muse ,administrative,
Global Environmental Politics,1526-3800,1536-0091,2003,3,1,,,,,,,,The MIT Press,,Project Muse ,host,http://muse.jhu.edu/journals/global_environmental_politics,Project Muse ,administrative,
The Good Society,1089-0017,1538-9731,2002,11,1,,,,,,,,Penn State University Press,,Project Muse ,host,http://muse.jhu.edu/journals/good_society,Project Muse ,administrative,
Hastings Center Report,0093-0334,1552-146X,2005,35,1,,2011,,,,,,The Hastings Center,,Project Muse ,host,http://muse.jhu.edu/journals/hastings_center_report,Project Muse ,administrative,
The High School Journal,0018-1498,1534-5157,2001,84,3,,,,,,,,The University of North Carolina Press,,Project Muse ,host,http://muse.jhu.edu/journals/high_school_journal,Project Muse ,administrative,
Histoire sociale/Social history,0018-2257,1918-6576,2008,41,8,,,,,,,,University of Toronto Press,,Project Muse ,host,http://muse.jhu.edu/journals/histoire_sociale_social_history,Project Muse ,administrative,
Historically Speaking,1941-4188,1944-6438,1999,1,1,,,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/historically_speaking,Project Muse ,administrative,
History Workshop Journal,1363-3554,1477-4569,2004,,57,,,,,,,,Oxford University Press,,Project Muse ,host,http://muse.jhu.edu/journals/history_workshop_journal,Project Muse ,administrative,
Holocaust and Genocide Studies,8756-6583,1476-7937,2003,17,1,,,,,,,,Oxford University Press,,Project Muse ,host,http://muse.jhu.edu/journals/holocaust_and_genocide_studies,Project Muse ,administrative,
Holy Land Studies: A Multidisciplinary Journal,1474-9475,1750-0125,2006,5,1,,2008,,,,,,Edinburgh University Press,,Project Muse ,host,http://muse.jhu.edu/journals/holy_land_studies,Project Muse ,administrative,
