SO Name,NESLI2 OUPLife Sciences Collections 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_lifesciences collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Life sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Life sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Journal of Plant Ecology,1752-9921 ,1752-993X ,01/03/2008,,,,,,jpe,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://jpe.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
MHR: Molecular Human Reproduction,1360-9947 ,1460-2407 ,01/03/1995,,,,,,molehr,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://molehr.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Molecular Biology and Evolution,0737-4038 ,1537-1719 ,01/12/1983,,,,,,mbe,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://mbe.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Molecular Plant,1674-2052 ,1752-9867 ,01/01/2008,,,,,,mplant,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://mplant.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Plant and Cell Physiology,0032-0781 ,1471-9053 ,01/12/1959,,,,,,pcp,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://pcp.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Protein Engineering Design and Selection,1741-0126 ,1741-0134 ,01/10/1986,,,,,,peds,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://peds.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Social Cognitive and Affective Neuroscience,1749-5016 ,1749-5024 ,01/06/2006,,,,,,scan,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://scan.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Systematic Biology,1063-5157 ,1076-836X ,01/03/1952,,,,,,sysbio,,full text,,Oxford University Press ,,Oxford journals,host,http://sysbio.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Annals of Occupational Hygiene,0003-4878 ,1475-3162 ,01/01/1958,,,,,,annhyg,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://annhyg.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Journal of Biochemistry,0021-924X ,Unknown,01/01/1922,,,,,,jb,,full text,,Oxford University Press ,,Oxford journals,host,http://jb.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Toxicological Sciences,1096-6080 ,1096-0929 ,01/01/1981,,,,,,toxsci,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://toxsci.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Tree Physiology,0829-318X ,1758-4469 ,01/06/1986,,,,,,treephys,,full text,free back issues after 24 months ,Oxford University Press ,,Oxford journals,host,http://treephys.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
