SO Name,NESLI2 Karger Full Collection 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,karger_colection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,S. Karger AG,,,,,,,,,,,,,,,,,,,
Package Identifier,Karger Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Karger Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,1,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Cytogenetics and Cell Genetics ,0301-0171,1421-9816,1998,80,1,2001,95,4,1421-9816,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9816,,,
Cytogenetic and Genome Research,1424-8581,1424-859X,2002,96,1,,,,1424-859X,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-859X,,,
Dementia and Geriatric Cognitive Disorders,1420-8008,1421-9824,1998,9,1,,,,1421-9824,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9824,,,
Dementia and Geriatric Cognitive Disorders EXTRA,,1664-5464,2011,1,1,,,,1664-5464,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1664-5464,,,
Dermatology,1018-8665,1421-9832,1998,196,1,,,,1421-9832,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9832,,,
Dermatology and Psychosomatics,1422-9196,1424-0564,2000,1,1,2004,5,4,1424-0564,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-0564,,,
Developmental Neuroscience,0378-5866,1421-9859,1998,20,1,,,,1421-9859,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9859,,,
Digestion,0012-2823,1421-9867,1998,59,1,,,,1421-9867,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9867,,,
Digestive Diseases,0257-2753,1421-9875,1998,16,1,,,,1421-9875,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9875,,,
Digestive Surgery,0253-4886,1421-9883,1998,15,1,,,,1421-9883,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9883,,,
European Addiction Research,1022-6877,1421-9891,1998,4,1,,,,1421-9891,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9891,,,
European Neurology,0014-3022,1421-9913,1998,39,1,,,,1421-9913,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9913,,,
European Surgical Research,0014-312X,1421-9921,1998,30,1,,,,1421-9921,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9921,,,
European Thyroid Journal,2235-0640,2235-0802,2012,1,1,,,,2235-0802,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=2235-0802,,,
European Urology,0302-2838,1421-993X,1998,33,1,2001,40,6,1421-993X,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-993X,,,
Exogenous Dermatology,1424-4616,1424-4624,2002,1,1,2004,3,6,1424-4624,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-4624,,,
Experimental and Clinical Immunogenetics ,0254-9670,1421-9948,1998,15,1,2001,18,4,1421-9948,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9948,,,
Experimental Nephrology ,1018-7782,1421-9956,1998,6,1,2002,10,6,1421-9956,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9956,,,
Fetal Diagnosis and Therapy,1015-3837,1421-9964,1998,13,1,,,,1421-9964,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9964,,,
Folia Phoniatrica et Logopaedica,1021-7762,1421-9972,1998,50,1,,,,1421-9972,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9972,,,
Folia Primatologica,0015-5713,1421-9980,1998,69,1,,,,1421-9980,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9980,,,
Forschende Komplementärmedizin und Klassische Naturheilkunde / Research in Complementary and Classical Natural Medicine,1021-7096,1421-9999,1998,5,1,2005,12,6,1421-9999,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-4127,,,
Forschende Komplementärmedizin/Research in Complementary Medicine,1661-4119,1661-4127,2006,13,1,,,,1661-4127,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-4127,,,
Frauenheilkunde aktuell ,1021-5697,none,2000,9,4,2002,11,4,none,,fulltext,,S. Karger AG,,KARGER,host,none,,,
Gerontology,0304-324X,1423-0003,1998,44,1,,,,1423-0003,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0003,,,
Gynäkologisch-geburtshilfliche Rundschau ,1018-8843,1423-0011,1998,38,1,2009,49,4,1423-0011,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0011,,,
Gynecologic and Obstetric Investigation,0378-7346,1423-002X,1998,45,1,,,,1423-002X,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-002X,,,
Haemostasis,0301-0147,1423-0038,1998,28,1,2001,31,03-Jun,1423-0038,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0038,,,
Heart Drug,1422-9528,1424-0556,2001,1,1,2005,5,4,1424-0556,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-0556,,,
Hormone Research ,0301-0163,1423-0046,1998,49,1,2009,72,6,1423-0046,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0046,,,
Hormone Research in Paediatrics ,1663-2818,1663-2826,2010,73,1,,,,1663-2826,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1663-2826,,,
Human Development,0018-716X,1423-0054,1998,41,1,,,,1423-0054,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0054,,,
Human Heredity,0001-5652,1423-0062,1998,48,1,,,,1423-0062,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0062,,,
Indoor and Built Environment,1420-326X,1423-0070,1998,7,1,2002,11,6,1423-0070,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0070,,,
Infusion Therapy and Transfusion Medicine / Infusionstherapie und Transfusionsmedizin,1424-5485,1424-5493,1998,25,1,2002,29,6,1424-5493,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1660-3818,,,
International Archives of Allergy and Immunology,1018-2438,1423-0097,1998,115,1,,,,1423-0097,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0097,,,
Interventional Neurology,1664-9737,1664-5545,2012,1,1,,,,1664-5545,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1664-5545,,,
Intervirology,0300-5526,1423-0100,1998,41,1,,,,1423-0100,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0100,,,
Invasion and Metastasis ,0251-1789,1423-0119,1998,18,1,1999,18,05-Jun,1423-0119,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0119,,,
Journal of Biomedical Science ,1021-7770,1423-0127,1998,5,1,2004,11,6,1423-0127,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0127,,,
Journal of Innate Immunity,1662-811X,1662-8128,2009,1,1,,,,1662-8128,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1662-8128,,,
Journal of Molecular Microbiology and Biotechnology,1464-1801,1660-2412,2003,5,1,,,,1660-2412,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1660-2412,,,
Journal of Nutrigenetics and Nutrigenomics ,1661-6499,1661-6758,2008,1,01-Feb,,,,1661-6758,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-6758,,,
Journal of Vascular Research,1018-1172,1423-0135,1998,35,1,,,,1423-0135,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0135,,,
Kidney and Blood Pressure Research,1420-4096,1423-0143,1998,21,1,,,,1423-0143,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0143,,,
Medical Principles and Practice,1011-7571,1423-0151,1998,7,1,,,,1423-0151,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0151,,,
Molecular Syndromology,1661-8769,1661-8777,2010,1,1,,,,1661-8777,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-8777,,,
Neonatalogy,1661-7800,1661-7819,2007,91,1,,,,1661-7819,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-7819,,,
Natural Immunity,1018-8916,1423-0178,1998,16,1,1998,16,05-Jun,1423-0178,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?Aktion=JournalHome&ProduktNr=224166,,,
Nephron Journals,0028-2766,1423-0186,1998,78,1,,,,1423-0186,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0186,,,
Nephron Clinical Practice,,1660-2110,2003,93,1,,,,1660-2110,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1660-2110,,,
Nephron Experimental Nephrology,,1660-2129,2003,93,1,,,,1660-2129,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1660-2129,,,
Nephron Physiology,,1660-2137,2003,93,1,,,,1660-2137,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1660-2137,,,
Neurodegenerative Diseases,1660-2854,1660-2862,2004,1,1,,,,1660-2862,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1660-2862,,,
Neuroembryology and Aging ,1661-3406,1661-3414,2004/2005,3,1,2008,5,4,1661-3414,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-3414,,,
Neuroembryology ,1424-8522,1424-8530,2002,1,1,2003,2,1,1424-8530,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-8530,,,
Neuroendocrinology,0028-3835,1423-0194,1998,67,1,,,,1423-0194,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0194,,,
Neuroepidemiology,0251-5350,1423-0208,1998,17,1,,,,1423-0208,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0208,,,
Neuroimmunomodulation,1021-7401,1423-0216,1998,5,01-Feb,,,,1423-0216,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0216,,,
Neuropsychobiology,0302-282X,1423-0224,1998,37,1,,,,1423-0224,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0224,,,
NeuroSignals,1424-862X,1424-8638,2002,11,1,,,,1424-8638,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-8638,,,
