SO Name,NESLI2 CUP Full Package 2010-2012,,,,,,,,,,,,,,,,,,,
SO Identifier,cup_full package_2010_2012_nesli2,,,,,,,,,,,,,,,,,,,
Provider,Cambridge University Press,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Package,,,,,,,,,,,,,,,,,,,
Package Name,Full Package,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2010,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Speculum,0038-7134,2040-8072,01/01/2005,80,1,,,,SPC,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_SPC,Cambridge Journals,administrative,
Journal of Biosocial Science,0021-9320,1469-7599,01/01/1997,29,1,,,,JBS,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_JBS,Cambridge Journals,administrative,
Proceedings of the Nutrition Society,0029-6651,1475-2719,01/02/2007,66,1,,,,PNS,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_PNS,Cambridge Journals,administrative,
The International Journal of Neuropsychopharmacology,1461-1457,1469-5111,01/07/1998,1,1,,,,PNP,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_PNP,Cambridge Journals,administrative,
Animal Health Research Reviews,1466-2523,1475-2654,01/06/2000,1,1,,,,AHR,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_AHR,Cambridge Journals,administrative,
Journal of Southeast Asian Studies,0022-4634,1474-0680,01/02/2001,32,1,,,,SEA,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_SEA,Cambridge Journals,administrative,
Probability in the Engineering and Informational Sciences,0269-9648,1469-8951,01/01/1999,13,1,,,,PES,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_PES,Cambridge Journals,administrative,
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,1755-6910,1755-6929,01/03/2001,92,1,,,,TRE,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_TRE,Cambridge Journals,administrative,
Bulletin of the Australian Mathematical Society,0004-9727,1755-1633,01/02/2007,75,1,,,,BAZ,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_BAZ,Cambridge Journals,administrative,
Nineteenth-Century Music Review,1479-4098,2044-8414,01/06/2004,1,1,,,,NCM,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_NCM,Cambridge Journals,administrative,
The Knowledge Engineering Review,0269-8889,1469-8005,01/01/1997,12,1,,,,KER,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_KER,Cambridge Journals,administrative,
Journal of Developmental Origins of Health and Disease,2040-1744,2040-1752,01/11/2009,1,1,,,,DOH,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_DOH,Cambridge Journals,administrative,
Journal of the Institute of Mathematics of Jussieu,1474-7480,1475-3030,01/01/2002,1,1,,,,JMJ,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_JMJ,Cambridge Journals,administrative,
Review of International Studies,0260-2105,1469-9044,01/01/1997,23,1,,,,RIS,,fulltext,,,,Cambridge Journals,host,http://journals.cambridge.org/jid_RIS,Cambridge Journals,administrative,
