SO Name,NESLI2 OUP Journals Collections 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Oxford Journals Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Full Oxford Journals Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Brain,0006-8950 ,1460-2156 ,01/04/1878,,,,,,brain,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://brain.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Briefings in Bioinformatics,1467-5463 ,1477-4054 ,01/01/2000,,,,,,bib,,full text,free back issues after 24 months ,Oxford University Press ,,Oxford Journals,host,http://bib.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Briefings in Functional Genomics,2041-2649 ,2041-2657 ,01/01/2002,,,,,,bfg,,full text,free back issues after 24 months ,Oxford University Press ,,Oxford Journals,host,http://bfg.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
British Medical Bulletin,0007-1420 ,1471-8391 ,01/03/1943,,,,,,bmb,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://bmb.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Bulletin of the London Mathematical Society,0024-6093 ,1469-2120 ,01/03/1969,,,,,,blms,,full text,,Oxford University Press ,,Oxford Journals,host,http://blms.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Cambridge Journal of Economics,0309-166X ,1464-3545 ,01/03/1977,,,,,,cje,,full text,,Oxford University Press ,,Oxford Journals,host,http://cje.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
"Cambridge Journal of Regions, Economy and Society",1752-1378 ,1752-1386 ,01/04/2008,,,,,,cjres,,full text,,Oxford University Press ,,Oxford Journals,host,http://cjres.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Capital Markets Law Journal,1750-7219 ,1750-7227 ,01/07/2006,,,,,,cmlj,,full text,,Oxford University Press ,,Oxford Journals,host,http://cmlj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Carcinogenesis,0143-3334 ,1460-2180 ,01/01/1980,,,,,,carcin,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://carcin.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Cardiovascular Research,0008-6363 ,Unknown,01/01/1967,,,,,,cardiovascres,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://cardiovascres.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Cerebral Cortex,1047-3211 ,1460-2199 ,01/01/1991,,,,,,cercor,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://cercor.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
CESifo Economic Studies,1610-241X ,1612-7501 ,01/01/2003,,,,,,cesifo,,full text,,Oxford University Press ,,Oxford Journals,host,http://cesifo.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Chemical Senses,0379-864X ,1464-3553 ,01/01/1974,,,,,,chemse,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://chemse.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Children & Schools,1532-8759,1545-682X  ,01/01/1997,,,,,,cs,,full text,,Oxford University Press ,,Oxford Journals,host,http://cs.oxfordjournals.org/,Highwire,administrative,,Oxford Journals,administrative,
Chinese Journal of International Law,1540-1650 ,1746-9937 ,01/01/2002,,,,,,chinesejil,,full text,,Oxford University Press ,,Oxford Journals,host,http://chinesejil.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Christian Bioethics,1380-3603 ,1744-4195 ,01/03/1995,,,,,,cb,,full text,,Oxford University Press ,,Oxford Journals,host,http://cb.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Classical Receptions Journal,1759-5134 ,1759-5142 ,01/01/2009,,,,,,crj,,full text,,Oxford University Press ,,Oxford Journals,host,http://crj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Clinical Infectious Diseases,1058-4838 ,1537-6591 ,15/02/2011,,,,,,cid,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://cid.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Community Development Journal,0010-3802 ,1468-2656 ,01/01/1966,,,,,,cdj,,full text,,Oxford University Press ,,Oxford Journals,host,http://cdj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Contemporary Women's Writing,1754-1484 ,1754-1476 ,01/12/2007,,,,,,cww,,full text,,Oxford University Press ,,Oxford Journals,host,http://cww.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
"Continuing Education in Anaesthesia, Critical Care & Pain",1743-1816 ,1743-1824 ,01/02/2001,,,,,,ceaccp,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford Journals,host,http://ceaccp.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Contributions to Political Economy,0277-5921 ,1464-3588 ,01/03/1982,,,,,,cpe,,full text,,Oxford University Press ,,Oxford Journals,host,http://cpe.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Early Music,0306-1078 ,1741-7260 ,01/01/1973,,,,,,em,,full text,,Oxford University Press ,,Oxford Journals,host,http://em.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
ELT Journal,0951-0893 ,1477-4526 ,01/10/1946,,,,,,eltj,,full text,,Oxford University Press ,,Oxford Journals,host,http://eltj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
English,0013-8215 ,1756-1124 ,01/01/1936,,,,,,english,,full text,,Oxford University Press ,,Oxford Journals,host,http://english.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Enterprise and Society,1467-2227 ,1467-2235 ,01/03/2000,,,,,,es,,full text,,Oxford University Press ,,Oxford Journals,host,http://es.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Environmental History,1084-5453 ,1930-8892 ,01/01/1996,,,,,,envhis,,full text,,Oxford University Press ,,Oxford Journals,host,http://envhis.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Essays in Criticism,0014-0856 ,1471-6852 ,01/01/1951,,,,,,eic,,full text,,Oxford University Press ,,Oxford Journals,host,http://eic.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Europace,1099-5129 ,1532-2092 ,01/01/1999,,,,,,europace,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford Journals,host,http://europace.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
European Heart Journal,0195-668X ,1522-9645 ,02/01/1980,,,,,,eurheartj,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://eurheartj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
European Heart Journal – Cardiovascular Imaging,2047-2404,2047-2412,01/03/2000,,,,,,ehjcimaging,,full text,,Oxford University Press ,,Oxford Journals,host,http://ehjcimaging.oxfordjournals.org/,Highwire,administrative,,Oxford Journals,administrative,
European Journal of Cardio-Thoracic Surgery,1010-7940,1873-734X ,01/02/1995,,,,,,ejcts,,full text,,Oxford University Press ,,Oxford Journals,host,http://ejcts.oxfordjournals.org/,Highwire,administrative,,Oxford Journals,administrative,
European Journal of Echocardiography,1525-2167 ,1532-2114 ,01/03/2000,,,01/12/2011,,,ejechocard,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford Journals,host,http://ejechocard.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
European Journal of Heart Failure,1388-9842 ,1879-0844 ,01/03/1999,,,,,,eurjhf,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford Journals,host,http://eurjhf.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
European Journal of International Law,0938-5428 ,1464-3596 ,01/01/1990,,,,,,ejil,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford Journals,host,http://ejil.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
European Review of Agricultural Economics,0165-1587 ,1464-3618 ,01/01/1973,,,,,,erae,,full text,,Oxford University Press ,,Oxford Journals,host,http://erae.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
European Review of Economic History,1361-4916,1474-0044 ,01/04/1997,,,,,,ereh,,full text,,Oxford University Press ,,Oxford Journals,host,http://ereh.oxfordjournals.org/,Highwire,administrative,,Oxford Journals,administrative,
European Sociological Review,0266-7215 ,1468-2672 ,01/05/1985,,,,,,esr,,full text,,Oxford University Press ,,Oxford Journals,host,http://esr.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Family Practice,0263-2136 ,1460-2229 ,01/03/1984,,,,,,fampra,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://fampra.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Forest & Conservation History,1046-7009 ,Unknown,01/03/1957,,,01/10/1995,,,foreconshist,,full text,,Oxford University Press ,,Oxford Journals,host,http://foreconshist.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Forestry,0015-752X ,1464-3626 ,01/01/1927,,,,,,forestry,,full text,,Oxford University Press ,,Oxford Journals,host,http://forestry.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Forum for Modern Language Studies,0015-8518 ,1471-6860 ,01/01/1965,,,,,,fmls,,full text,,Oxford University Press ,,Oxford Journals,host,http://fmls.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
French History,0269-1191 ,1477-4542 ,01/01/1987,,,,,,fh,,full text,,Oxford University Press ,,Oxford Journals,host,http://fh.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
French Studies,0016-1128 ,1468-2931 ,01/01/1947,,,,,,fs,,full text,,Oxford University Press ,,Oxford Journals,host,http://fs.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
German History,0266-3554 ,1477-089X ,01/01/1984,,,,,,gh,,full text,,Oxford University Press ,,Oxford Journals,host,http://gh.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Glycobiology,0959-6658 ,1460-2423 ,01/09/1990,,,,,,glycob,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://glycob.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Health & Social Work,0360-7283,1545-6854  ,01/02/1997,,,,,,hsw,,full text,,Oxford University Press ,,Oxford Journals,host,http://hsw.oxfordjournals.org/,Highwire,administrative,,Oxford Journals,administrative,
Health Education Research,0268-1153 ,1465-3648 ,01/03/1986,,,,,,her,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://her.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Health Policy and Planning,0268-1080 ,1460-2237 ,01/03/1986,,,,,,heapol,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://heapol.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Health Promotion International,0957-4824 ,1460-2245 ,01/01/1986,,,,,,heapro,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://heapro.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
History Workshop Journal,1363-3554 ,1477-4569 ,01/01/1976,,,,,,hwj,,full text,,Oxford University Press ,,Oxford Journals,host,http://hwj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Holocaust and Genocide Studies,8756-6583 ,1476-7937 ,01/01/1986,,,,,,hgs,,full text,,Oxford University Press ,,Oxford Journals,host,http://hgs.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Human Molecular Genetics,0964-6906 ,1460-2083 ,01/04/1992,,,,,,hmg,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://hmg.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Human Reproduction,0268-1161 ,1460-2350 ,01/01/1986,,,,,,humrep,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://humrep.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Human Reproduction Update,1355-4786 ,1460-2369 ,01/01/1995,,,,,,humupd,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://humupd.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Human Rights Law Review,1461-7781,1744-1021 ,01/03/2001,,,,,,hrlr,,full text,,Oxford University Press ,,Oxford Journals,host,http://www.oxfordjournals.org/our_journals/hrlr/about.html,Highwire,administrative,,Oxford Journals,administrative,
