SO Name,NESLI2 RSC Gold 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,rsc_gold_2011_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,RSC,,,,,,,,,,,,,,,,,,,
Package Identifier,Gold,,,,,,,,,,,,,,,,,,,
Package Name,Gold,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Organic & Biomolecular Chemistry,1477-0520,1477-0539,2003,1,1, , , ,1477-0539, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1477-0539,RSC Publishing,administrative,
Photochemical & Photobiological Sciences,1474-905X,1474-9092,2002,1,1, , , ,1474-9092, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1474-9092,RSC Publishing,administrative,
Physical Chemistry Chemical Physics,1463-9076,1463-9084,1999,1,1, , , ,1463-9084, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1463-9084,RSC Publishing,administrative,
Polymer Chemistry,1759-9954,1759-9954,2010,1,1, , , ,1759-9954, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1759-9954,RSC Publishing,administrative,
Soft Matter,1744-683X,1744-6848,2005,1,1, , , ,1744-6848, ,fulltext,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1744-6848,RSC Publishing,administrative,
Analytical Abstracts,0003-2689,1471-7107,2008,,,,,,,,full text,,,,RSC Publishing,host,http://www.rsc.org/aa,RSC Publishing,administrative,
Catalysts & Catalysed Reactions,1474-9173,1474-9181,2008,,,,,,,,full text,,,,RSC Publishing,host,http://www.rsc.org/catalysts,RSC Publishing,administrative,
Chemical Communications,1359-7345,1364-548X,1997,,,,,,,,full text,,,,RSC Publishing,host,http://xlink.rsc.org/?genre=journal&issn=1364-548X,RSC Publishing,administrative,
Chemical Hazards in Industry,0265-5721,1476-3907,2008,,,,,,,,full text,,,,RSC Publishing,host,http://www.rsc.org/chi,RSC Publishing,administrative,
Laboratory Hazards Bulletin,0261-2917,1476-3915,2008,,,,,,,,full text,,,,RSC Publishing,host,http://www.rsc.org/lhb,RSC Publishing,administrative,
Methods in Organic Synthesis,0265-4245,1478-1565,2008,,,,,,,,full text,,,,RSC Publishing,host,http://www.rsc.org/mos,RSC Publishing,administrative,
Natural Product Updates,0950-1711,1478-1557,2008,,,,,,,,full text,,,,RSC Publishing,host,http://www.rsc.org/npu,RSC Publishing,administrative,
