SO Name,NESLI2 IOS  SMP 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,ios_collection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,IOS Press,,,,,,,,,,,,,,,,,,,
Package Identifier,SMP,,,,,,,,,,,,,,,,,,,
Package Name,SMP,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
International Journal of Artificial Intelligence in Education,1560-4292,1560-4306,01/01/2003,13,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/110564,Metapress,administrative,
International Journal of Hybrid Intelligent Systems,1448-5869,1875-8819,01/01/2004,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/112107,Metapress,administrative,
International Journal of Knowledge-Based and Intelligent Engineering Systems,1327-2314,1875-8827,01/01/2004,8,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/111164,Metapress,administrative,
International Journal of RF Technologies: Research and Applications,1754-5730,1754-5749,01/01/2009,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/121803,Metapress,administrative,
The International Journal of Risk and Safety in Medicine,0924-6479,1878-6847,01/01/1998,11,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/103162,Metapress,administrative,
International Shipbuilding Progress,0020-868X,1566-2829,01/01/2000,47,449,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/120116,Metapress,administrative,
Isokinetics and Exercise Science,0959-3020,1878-5913,01/01/1998,7,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/103163,Metapress,administrative,
Journal of Alzheimer's Disease,1387-2877,1875-8908,01/01/1998,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/105656,Metapress,administrative,
Journal of Ambient Intelligence and Smart Environments,1876-1364,1876-1372,01/01/2009,1,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/121240,Metapress,administrative,
Journal of Back and Musculoskeletal Rehabilitation,1053-8127,1878-6324,01/01/1999,12,1,,,,,,,,IOS Press,,Metapress,host,http://iospress.metapress.com/content/103166,Metapress,administrative,
