SO Name,NESLI2 OUP Social Sciences Collection 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_socieal sciences collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Social Sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Social Sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Oxford Economic Papers,0030-7653 ,1464-3812 ,01/10/1938,,,,,,oep,,full text,,Oxford University Press ,,Oxford journals,host,http://oep.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Oxford Review of Economic Policy,0266-903X ,1460-2121 ,01/03/1985,,,,,,oxrep,,full text,,Oxford University Press ,,Oxford journals,host,http://oxrep.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Parliamentary Affairs,0031-2290 ,1460-2482 ,01/01/1947,,,,,,pa,,full text,,Oxford University Press ,,Oxford journals,host,http://pa.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Political Analysis,1047-1987 ,1476-4989 ,01/01/1989,,,,,,pan,,full text,,Oxford University Press ,,Oxford journals,host,http://pan.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Public Opinion Quarterly,0033-362X ,1537-5331 ,01/01/1937,,,,,,poq,,full text,,Oxford University Press ,,Oxford journals,host,http://poq.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Publius: Journal of Federalism,0048-5950 ,1747-7107 ,01/01/1971,,,,,,publius,,full text,,Oxford University Press ,,Oxford journals,host,http://publius.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Refugee Survey Quarterly,1020-4067 ,1471-695X ,01/01/1982,,,,,,rsq,,full text,,Oxford University Press ,,Oxford journals,host,http://rsq.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Review of Asset Pricing Studies,2045-9920 ,2045-9939 ,01/12/2011,,,,,,raps,,full text,,Oxford University Press ,,Oxford journals,host,http://raps.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Review of Economic Studies,0034-6527 ,1467-937X ,01/01/1933,,,,,,restud,,full text,,Oxford University Press ,,Oxford journals,host,http://restud.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Review of Environmental Economics and Policy,1750-6816 ,1750-6824 ,01/01/2007,,,,,,reep,,full text,,Oxford University Press ,,Oxford journals,host,http://reep.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Review of Finance,1572-3097 ,1573-692X ,01/01/1997,,,,,,rof,,full text,,Oxford University Press ,,Oxford journals,host,http://rof.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Social Forces,0037-7732 ,1534-7605 ,01/11/1922,,,,,,sf,,full text,,Oxford University Press ,,Oxford journals,host,http://sf.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
"Social Politics: International Studies in Gender, State & Society",1072-4745 ,1468-2893 ,01/03/1994,,,,,,sp,,full text,,Oxford University Press ,,Oxford journals,host,http://sp.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Social Science Japan Journal,1369-1465 ,1468-2680 ,01/04/1998,,,,,,ssjj,,full text,,Oxford University Press ,,Oxford journals,host,http://ssjj.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Social Work,0037-8046,1545-6846,01/01/1997,,,,,,sw,,full text,,Oxford University Press ,,Oxford journals,host,http://sw.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
