SO Name,NESLI2 OUP Medicine Collections 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_medicine collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Medicine collection,,,,,,,,,,,,,,,,,,,,,,
Package Name,Medicine collection,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Family Practice,0263-2136 ,1460-2229 ,01/03/1984,,,,,,fampra,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://fampra.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Glycobiology,0959-6658 ,1460-2423 ,01/09/1990,,,,,,glycob,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://glycob.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Health & Social Work,0360-7283,1545-6854  ,01/02/1997,,,,,,hsw,,full text,,Oxford University Press ,,Oxford journals,host,http://hsw.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
Health Education Research,0268-1153 ,1465-3648 ,01/03/1986,,,,,,her,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://her.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Health Policy and Planning,0268-1080 ,1460-2237 ,01/03/1986,,,,,,heapol,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://heapol.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Health Promotion International,0957-4824 ,1460-2245 ,01/01/1986,,,,,,heapro,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://heapro.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Human Molecular Genetics,0964-6906 ,1460-2083 ,01/04/1992,,,,,,hmg,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://hmg.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Human Reproduction,0268-1161 ,1460-2350 ,01/01/1986,,,,,,humrep,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://humrep.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Human Reproduction Update,1355-4786 ,1460-2369 ,01/01/1995,,,,,,humupd,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://humupd.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
InnovAiT,1755-7380 ,1755-7399 ,01/01/2008,,,,,,rcgp-innovait,,full text,free back issues after 36 months ,Oxford University Press ,,Oxford journals,host,http://rcgp-innovait.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Immunology,0953-8178 ,1460-2377 ,01/01/1989,,,,,,intimm,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://intimm.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Journal for Quality in Health Care,1353-4505 ,1464-3677 ,01/03/1989,,,,,,intqhc,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://intqhc.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
International Journal of Epidemiology,0300-5771 ,1464-3685 ,01/01/1972,,,,,,ije,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://ije.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Japanese Journal of Clinical Oncology,0368-2811 ,1465-3621 ,01/01/1971,,,,,,jjco,,full text,"free back issues 6 months back to Jan 01, 1996 ",Oxford University Press ,,Oxford journals,host,http://jjco.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
JNCI Journal of the National Cancer Institute,0027-8874 ,1460-2105 ,02/03/1988,,,,,,jnci,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://jnci.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Antimicrobial Chemotherapy,0305-7453 ,1460-2091 ,01/03/1975,,,,,,jac,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://jac.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Electron Microscopy,0022-0744 ,1477-9986 ,01/01/1953,,,,,,jmicro,,full text,,Oxford University Press ,,Oxford journals,host,http://jmicro.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Pediatric Psychology,0146-8693 ,1465-735X ,01/01/1976,,,,,,jpepsy,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://jpepsy.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Public Health,1741-3842 ,1741-3850 ,01/02/1979,,,,,,jpubhealth,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://jpubhealth.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of the History of Medicine and Allied Sciences,0022-5045 ,1468-4373 ,01/01/1946,,,,,,jhmas,,full text,,Oxford University Press ,,Oxford journals,host,http://jhmas.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of the ICRU,1473-6691 ,1742-3422 ,01/06/2004,,,,,,jicru,,full text,,Oxford University Press ,,Oxford journals,host,http://jicru.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journal of Tropical Pediatrics,0142-6338 ,1465-3664 ,01/06/1955,,,,,,tropej,,full text,,Oxford University Press ,,Oxford journals,host,http://tropej.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Journals of Gerontology Series B: Psychological Sciences and Social Sciences,1079-5014 ,1758-5368 ,01/01/1995,,,,,,psychsocgerontology,,full text,,Oxford University Press ,,Oxford journals,host,http://psychsocgerontology.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The journal of Medicine and Philosophy,0360-5310 ,1744-5019 ,01/01/1976,,,,,,jmp,,full text,,Oxford University Press ,,Oxford journals,host,http://jmp.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Mathematical Medicine and Biology,1477-8599 ,1477-8602 ,01/01/1984,,,,,,imammb,,full text,,Oxford University Press ,,Oxford journals,host,http://imammb.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Medical Law Review,0967-0742 ,1464-3790 ,01/01/1993,,,,,,medlaw,,full text,,Oxford University Press ,,Oxford journals,host,http://medlaw.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
MHR: Molecular Human Reproduction,1360-9947 ,1460-2407 ,01/03/1995,,,,,,molehr,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://molehr.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Molecular Biology and Evolution,0737-4038 ,1537-1719 ,01/12/1983,,,,,,mbe,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://mbe.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Mutagenesis,0267-8357 ,1464-3804 ,01/01/1986,,,,,,mutage,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://mutage.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Nephrology Dialysis Transplantation,0931-0509 ,1460-2385 ,01/01/1986,,,,,,ndt,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://ndt.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Neuro-Oncology,1522-8517 ,1523-5866 ,01/01/1999,,,,,,neuro-oncology,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://neuro-oncology.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Nicotine & Tobacco Research,1462-2203 ,1469-994X ,01/01/1999,,,,,,ntr,,full text,,Oxford University Press ,,Oxford journals,host,http://ntr.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Occupational Medicine,0962-7480 ,1471-8405 ,01/09/1948,,,,,,occmed,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://occmed.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Protein Engineering Design and Selection,1741-0126 ,1741-0134 ,01/10/1986,,,,,,peds,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://peds.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Public Health Ethics,1754-9973 ,1754-9981 ,01/04/2008,,,,,,phe,,full text,,Oxford University Press ,,Oxford journals,host,http://phe.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
QJM: An International Journal of Medicine,1460-2725 ,1460-2393 ,01/10/1907,,,,,,qjmed,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://qjmed.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Radiation Protection Dosimetry,0144-8420 ,1742-3406 ,01/01/1981,,,,,,rpd,,full text,,Oxford University Press ,,Oxford journals,host,http://rpd.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Rheumatology,1462-0324 ,1462-0332 ,01/01/1952,,,,,,rheumatology,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://rheumatology.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Schizophrenia Bulletin,0586-7614 ,1745-1701 ,01/12/1969,,,,,,schizophreniabulletin,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://schizophreniabulletin.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Social Cognitive and Affective Neuroscience,1749-5016 ,1749-5024 ,01/06/2006,,,,,,scan,,full text,free back issues after 12 months ,Oxford University Press ,,Oxford journals,host,http://scan.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Social History of Medicine,0951-631X ,1477-4666 ,01/01/1988,,,,,,shm,,full text,,Oxford University Press ,,Oxford journals,host,http://shm.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Social Work,0037-8046,1545-6846,01/01/1997,,,,,,sw,,full text,,Oxford University Press ,,Oxford journals,host,http://sw.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
Social Work Research,1070-5309,1545-6838  ,01/01/1997,,,,,,swr,,full text,,Oxford University Press ,,Oxford journals,host,http://swr.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
The Annals of Occupational Hygiene,0003-4878 ,1475-3162 ,01/01/1958,,,,,,annhyg,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://annhyg.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The British Journal of Social Work,0045-3102 ,1468-263X ,01/01/1971,,,,,,bjsw,,full text,,Oxford University Press ,,Oxford journals,host,http://bjsw.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The European Journal of Orthodontics,0141-5387 ,1460-2210 ,01/01/1979,,,,,,ejo,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://ejo.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The European Journal of Public Health,1101-1262 ,1464-360X ,01/01/1991,,,,,,eurpub,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://eurpub.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Gerontologist,0016-9013 ,1758-5341 ,01/03/1961,,,,,,gerontologist,,full text,,Oxford University Press ,,Oxford journals,host,http://gerontologist.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Journal of Deaf Studies and Deaf Education,1081-4159 ,1465-7325 ,01/01/1996,,,,,,jdsde,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://jdsde.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Toxicological Sciences,1096-6080 ,1096-0929 ,01/01/1981,,,,,,toxsci,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford journals,host,http://toxsci.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Journal of Infectious Diseases,0022-1899,1537-6613,01/01/1904,,,,,,jid,,full text,,Oxford University Press ,,Oxford journals,host,http://jid.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
Journals of Gerontology Series A: Biological and Medical Sciences,1079-5006,1758-535X,01/01/1995,,,,,,biomedgerontology,,full text,,Oxford University Press ,,Oxford journals,host,http://biomedgerontology.oxfordjournals.org,Highwire,administrative,,Oxford journals,administrative,
