consortia_id,member_jc_id,link_type
NESLi2,865,consortium
NESLi2,519,consortium
NESLi2,254,consortium
NESLi2,255,consortium
NESLi2,846,consortium
NESLi2,257,consortium
NESLi2,520,consortium
NESLi2,258,consortium
NESLi2,259,consortium
NESLi2,260,consortium
NESLi2,261,consortium
NESLi2,521,consortium
NESLi2,264,consortium
NESLi2,658,consortium
NESLi2,265,consortium
NESLi2,266,consortium
NESLi2,267,consortium
NESLi2,522,consortium
NESLi2,268,consortium
NESLi2,269,consortium
NESLi2,270,consortium
NESLi2,271,consortium
NESLi2,272,consortium
NESLi2,273,consortium
NESLi2,274,consortium
NESLi2,659,consortium
NESLi2,275,consortium
NESLi2,276,consortium
NESLi2,281,consortium
NESLi2,282,consortium
NESLi2,283,consortium
NESLi2,284,consortium
NESLi2,285,consortium
NESLi2,286,consortium
NESLi2,277,consortium
NESLi2,278,consortium
NESLi2,279,consortium
NESLi2,617,consortium
NESLi2,280,consortium
NESLi2,287,consortium
NESLi2,288,consortium
NESLi2,523,consortium
NESLi2,292,consortium
NESLi2,293,consortium
NESLi2,296,consortium
NESLi2,297,consortium
NESLi2,299,consortium
NESLi2,300,consortium
NESLi2,302,consortium
NESLi2,303,consortium
NESLi2,304,consortium
NESLi2,289,consortium
NESLi2,290,consortium
NESLi2,294,consortium
NESLi2,295,consortium
NESLi2,524,consortium
NESLi2,301,consortium
NESLi2,619,consortium
NESLi2,305,consortium
NESLi2,525,consortium
NESLi2,306,consortium
NESLi2,526,consortium
NESLi2,307,consortium
NESLi2,308,consortium
NESLi2,309,consortium
NESLi2,310,consortium
NESLi2,313,consortium
NESLi2,314,consortium
NESLi2,528,consortium
NESLi2,315,consortium
NESLi2,317,consortium
NESLi2,318,consortium
NESLi2,319,consortium
NESLi2,320,consortium
NESLi2,321,consortium
NESLi2,291,consortium
NESLi2,323,consortium
NESLi2,324,consortium
NESLi2,325,consortium
NESLi2,326,consortium
NESLi2,327,consortium
NESLi2,328,consortium
NESLi2,329,consortium
NESLi2,529,consortium
NESLi2,531,consortium
NESLi2,330,consortium
NESLi2,866,consortium
NESLi2,533,consortium
NESLi2,331,consortium
NESLi2,332,consortium
NESLi2,333,consortium
NESLi2,334,consortium
NESLi2,13,consortium
NESLi2,335,consortium
NESLi2,336,consortium
NESLi2,337,consortium
NESLi2,881,consortium
NESLi2,339,consortium
NESLi2,340,consortium
NESLi2,534,consortium
NESLi2,536,consortium
NESLi2,537,consortium
NESLi2,341,consortium
NESLi2,538,consortium
NESLi2,539,consortium
NESLi2,540,consortium
NESLi2,541,consortium
NESLi2,544,consortium
NESLi2,542,consortium
NESLi2,543,consortium
NESLi2,867,consortium
