JD ID for Subcribing Institution,636,,,,,,,,,,
SO Identifier,sage_collection_2012_2012_nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,Journal of Language and Social Psychology,0261-927X,1552-6526,1999-03,18,1,,,,,
,Journal of Leadership & Organizational Studies,1548-0518,1939-7089,1999-01,5,2,,,,,
,Journal of Learning Disabilities,0022-2194,1538-4780,1999-01,32,1,,,,,
,Journal of Librarianship and Information Science,0961-0006,1741-6477,1999-03,31,1,,,,,
,Journal of Literacy Research,1086-296X,1554-8430,1999-01,,,,,,,
,Journal of Macromarketing,0276-1467,1552-6534,1999-06,19,1,,,,,
,Journal of Management,0149-2063,1557-1211,1999-02,25,1,,,,,Y
,Journal of Management Education,1052-5629,1552-6658,1999-02,23,1,,,,,
,Journal of Management Inquiry,1056-4926,1552-6542,1999-03,8,1,,,,,
,Journal of Marketing Education,0273-4753,1552-6550,1999-04,21,1,,,,,
,Journal of Material Culture,1359-1835,1460-3586,1999-03,4,1,,,,,Y
,Journal of Medical Marketing,1745-7904,1745-7912,2000-07,1,1,,,,,
,Journal of Mixed Methods Research,1558-6898,1558-6901,2007-01,1,1,,,,,
,Journal of Music Teacher Education,1057-0837,1945-0079,1999-01,8,2,,,,,
,Journal of Oncology Pharmacy Practice,1078-1552,1477-092X,1999-03,5,1,,,,,
,Journal of Parenteral and Enteral Nutrition,0148-6071,1941-2444,1999-01,23,1,,,,,
,Journal of Peace Research,0022-3433,1460-3578,1999-01,36,1,,,,,Y
,Journal of Pediatric Oncology Nursing,1043-4542,1532-8457,1999-01,16,1,,,,,
,Journal of Pharmacy Practice,0897-1900,1531-1937,2000-02,13,1,,,,,
,Journal of Planning Education and Research,0739-456X,1552-6577,1999-03,18,3,,,,,
,Journal of Planning History,1538-5132,1552-6585,2002-02,1,1,,,,,
,Journal of Planning Literature,0885-4122,1552-6593,1999-02,13,3,,,,,
,Journal of Plastic Film and Sheeting,8756-0879,1530-8014,1999-01,15,1,,,,,
,Journal of Positive Behavior Interventions,1098-3007,1538-4772,1999-01,1,1,,,,,
,Journal of Primary Care & Community Health,2150-1319,2150-1327,2010-04,1,1,,,,,
,Journal of Psychoeducational Assessment,0734-2829,1557-5144,1999-03,17,1,,,,,
,Journal of Psychopharmacology ,0269-8811,1461-7285,1999-01,13,1,,,,,
,Journal of Reinforced Plastics and Composites,0731-6844,1530-7964,1999-01,18,1,,,,,
,Journal of Research in Crime and Delinquency,0022-4278,1552-731X,1999-02,36,1,,,,,
,Journal of Research in International Education,1475-2409,1741-2943,2002-09,1,1,,,,,
,Journal of Research in Music Education,0022-4294,1945-0095,1999-01,47,1,,,,,
,Journal of Research in Nursing,1744-9871,1744-988X,1999-01,4,1,,,,,
,Journal of Sandwich Structures and Materials,1099-6362,1530-7972,1999-01,1,1,,,,,
,Journal of School Nursing,1059-8405,1546-8364,1999-02,15,1,,,,,
,Journal of Service Research,1094-6705,1552-7379,1999-02,1,3,,,,,
,Journal of Social and Personal Relationships,0265-4075,1460-3608,1999-02,16,1,,,,,
,Journal of Social Archaeology,1469-6053,1741-2951,2001-06,1,1,,,,,
,Journal of Social Work,1468-0173,1741-296X,2001-04,1,1,,,,,Y
,Journal of Sociology,1440-7833,1741-2978,1999-01,35,1,,,,,
,Journal of South Asian Development,0973-1741,0973-1733,2006-04,1,1,,,,,
,Journal of Sport and Social Issues,0193-7235,1552-7638,1999-02,23,1,,,,,
,Journal of Sports Economics,1527-0025,1552-7794,2000-02,1,1,,,,,
,Journal of Studies in International Education,1028-3153,1552-7808,1999-03,3,1,,,,,
,Journal of Teacher Education,0022-4871,1552-7816,1999-01,50,1,,,,,
,Journal of the American Psychiatric Nurses Association,1078-3903,1532-5725,1999-02,5,1,,,,,
,Journal of the American Psychoanalytic Association,0003-0651,1941-2460,1999-03,47,1,,,,,
,Journal of the International Association of Physicians in AIDS Care,1545-1097,1557-0886,2002-01,1,1,,,,,
,Journal of the Renin-Angiotensin-Aldosterone System,1470-3203,1752-8976,2000-03,1,1,,,,,
,Journal of Theoretical Politics,0951-6298,1460-3667,1999-01,11,1,,,,,
,Journal of Thermoplastic Composite Materials,0892-7057,1530-7980,1999-01,12,1,,,,,
,Journal of Transcultural Nursing,1043-6596,1552-7832,1999-01,10,1,,,,,
,Journal of Transformative Education,1541-3446,1552-7840,2003-01,1,1,,,,,
,Journal of Travel Research,0047-2875,1552-6763,1999-02,37,3,,,,,
,Journal of Urban History,0096-1442,1552-6771,1999-01,25,2,,,,,
,Journal of Vacation Marketing,1356-7667,1479-1870,1999-01,5,1,,,,,
,Journal of Veterinary Diagnostic Investigation,1040-6387,,1999-01,,,,,,,
,Journal of Vibration and Control,1077-5463,1741-2986,1999-01,5,1,,,,,
,Journal of Visual Culture,1470-4129,1741-2994,2002-04,1,1,,,,,Y
,Journalism,1464-8849,1741-3001,2000-04,1,1,,,,,
,Journalism & Communication Monographs,1522-6379,2161-4342,1999-03,1,1,,,,,
,Journalism & Mass Communication Educator,1077-6958,2161-4326,1999-01,,,,,,,
,Journalism & Mass Communication Quarterly,1077-6990,2161-430X,1999-01,,,,,,,
,Labor Studies Journal,0160-449X,1538-9758,1999-01,23,4,,,,,
,Language & Speech,0023-8309,1756-6053,1999-03,42,1,,,,,Y
,Language and Literature,0963-9470,1461-7293,1999-02,8,1,,,,,
,Language Teaching Research,1362-1688,1477-0954,1999-01,3,1,,,,,Y
,Language Testing,0265-5322,1477-0946,1999-01,16,1,,,,,
,Latin American Perspectives,0094-582X,1552-678X,1999-01,26,1,,,,,
,"Law, Culture and the Humanities",1743-8721,1743-9752,2005-02,1,1,,,,,
,Leadership,1742-7150,1742-7169,2005-02,1,1,,,,,
,Lighting Research & Technology,1477-1535,1477-0938,1999-01,31,1,,,,,
,Local Economy,0269-0942,1470-9325,1999-01,,,,,,,
,Lupus,0961-2033,1477-0962,1999-01,8,1,,,,,
,Management and Organizational History,1744-9359,1744-9367,2006-02,1,1,,,,,
,Management Communication Quarterly,0893-3189,1552-6798,1999-02,12,3,,,,,
,Management in Education,0892-0206,1741-9883,1999-01,13,1,,,,,Y
,Management Learning,1350-5076,1461-7307,1999-03,30,1,,,,,
,Margin - The Journal of Applied Economic Research,0973-8010,0973-8029,2007-03,1,1,,,,,
,Marketing Theory,1470-5931,1741-301X,2001-03,1,1,,,,,
,Mathematics & Mechanics of Solids,1081-2865,1741-3028,1999-03,4,1,,,,,
,Measurement and Evaluation in Counseling and Development,0748-1756,1947-6302,2009-04,42,1,,,,,
,"Media, Culture & Society",0163-4437,1460-3675,1999-01,21,1,,,,,Y
,"Media, War & Conflict",1750-6352,1750-6360,2008-04,1,1,,,,,
,Medical Care Research and Review,1077-5587,1552-6801,1999-03,56,1,,,,,
,Medical Decision Making,0272-989X,1552-681X,1999-01,19,1,,,,,
,Medieval History Journal,0971-9458,0973-0753,1999-04,2,1,,,,,
,Memory Studies,1750-6980,1750-6999,2008-01,1,1,,,,,
,Men and Masculinities,1097-184X,1552-6828,1999-01,1,3,,,,,
,Millennium: Journal of International Studies,0305-8298,1477-9021,1999-03,28,1,,,,,Y
,Modern China,0097-7004,1552-6836,1999-01,25,1,,,,,
,Multiple Sclerosis Journal,1352-4585,1477-0970,1999-02,5,1,,,,,
,Music and Medicine,1943-8621,1943-863X,2009-07,1,1,,,,,
,Music Educators Journal,0027-4321,1945-0087,1999-01,85,4,,,,,
,Musicae Scientiae,1029-8649,2045-4147,2005-03,9,1,,,,,
,NASN School Nurse,1942-602X,1942-6038,2001-01,16,1,,,,,
,NASSP Bulletin,0192-6365,1930-1405,1999-01,83,603,,,,,
,National Institute Economic Review,0027-9501,1741-3036,1999-01,167,1,,,,,
,Neurorehabilitation and Neural Repair,1545-9683,1552-6844,1999-03,13,1,,,,,
,New Media & Society,1461-4448,1461-7315,1999-04,1,1,,,,,Y
,Nonprofit and Voluntary Sector Quarterly,0899-7640,1552-7395,1999-03,28,1,,,,,
,Nursing Ethics,0969-7330,1477-0989,1999-01,6,1,,,,,
,Nursing Science Quarterly,0894-3184,1552-7409,1999-01,12,1,,,,,
,Nutrition in Clinical Practice,0884-5336,1941-2452,1999-02,14,1,,,,,
,Organization,1350-5084,1461-7323,1999-02,6,1,,,,,
,Organization & Environment,1086-0266,1552-7417,1999-03,12,1,,,,,
,Organization Studies,0170-8406,1741-3044,1999-01,20,1,,,,,
,Organizational Psychology Review,2041-3866,2041-3874,2011-02,1,1,,,,,
,Organizational Research Methods,1094-4281,1552-7425,1999-01,2,1,,,,,
,Otolaryngology-Head and Neck Surgery,0194-5998,1097-6817,1999-01,,,,,,,
,Palliative Medicine,0269-2163,1477-030X,1999-01,13,1,,,,,
,Party Politics,1354-0688,1460-3683,1999-01,5,1,,,,,Y
,Perfusion,0267-6591,1477-111X,1999-01,14,1,,,,,
,Personality and Social Psychology Bulletin,0146-1672,1552-7433,1999-01,25,1,,,,,Y
,Personality and Social Psychology Review,1088-8683,1532-7957,1999-02,3,1,,,,,Y
,Perspectives in Public Health,1757-9139,1757-9147,1999-03,119,1,,,,,
,Perspectives in Vascular Surgery and Endovascular Therapy,1531-0035,1521-5768,1999-01,10,1,,,,,
,Perspectives on Psychological Science,1745-6916,1539-6053,2006-03,1,1,,,,,
,Philosophy & Social Criticism,0191-4537,1461-734X,1999-01,25,1,,,,,
,Philosophy of the Social Sciences,0048-3931,1552-7441,1999-03,29,1,,,,,Y
,Planning Theory,1473-0952,1741-3052,2002-03,1,1,,,,,
,Police Quarterly,1098-6111,1552-745X,1999-03,2,1,,,,,
,"Policy, Politics, & Nursing Practice",1527-1544,1552-7468,2000-02,1,1,,,,,
,Political Research Quarterly,1065-9129,1938-274X,1999-03,52,1,,,,,
,Political Science,0032-3187,2041-0611,1999-01,50,2,,,,,
,Political Theory,0090-5917,1552-7476,1999-02,27,1,,,,,
,Politics & Society,0032-3292,1552-7514,1999-03,27,1,,,,,Y
,"Politics, Philosophy & Economics",1470-594X,1741-3060,2002-02,1,1,,,,,
,Probation Journal,0264-5505,1741-3079,1999-03,46,1,,,,,
,Proceedings of the Human Factors and Ergonomics Society Annual Meeting ,,1541-9312,1999-01,,,,,,,
,Progress in Development Studies,1464-9934,1477-027X,2001-01,1,1,,,,,
,Progress in Human Geography,0309-1325,1477-0288,1999-03,23,1,,,,,Y
,Progress in Physical Geography,0309-1333,1477-0296,1999-03,23,1,,,,,Y
,Prosthetics & Orthotics International,0309-3646,1746-1553,1999-01,,,,,,,
,Psychological Science,0956-7976,1467-9280,1999-01,10,1,,,,,Y
,Psychological Science in the Public Interest,1529-1006,1745-6924,2000-05,1,1,,,,,Y
,Psychology and Developing Societies,0971-3336,0973-0761,1999-03,11,1,,,,,
,Psychology of Music,0305-7356,0305-7356,1999-04,27,1,,,,,
,Psychology of Women Quarterly,0361-6843,1471-6402,1999-01,,,,,,,
,Public Finance Review,1091-1421,1552-7530,1999-01,27,1,,,,,
,Public Policy and Administration,0952-0767,1749-4192,1999-01,14,1,,,,,
,Public Relations Inquiry,2046-147X,2046-1488,2012-01,1,1,,,,,
,Public Understanding of Science,0963-6625,1361-6609,1999-01,8,1,,,,,
,Public Works Management & Policy,1087-724X,1552-7549,1999-01,3,3,,,,,
,Punishment & Society,1462-4745,1741-3095,1999-07,1,1,,,,,
,Qualitative Health Research,1049-7323,1552-7557,1999-01,9,1,,,,,
,Qualitative Inquiry,1077-8004,1552-7565,1999-03,5,1,,,,,
,Qualitative Research,1468-7941,1741-3109,2001-04,1,1,,,,,
,Qualitative Social Work,1473-3250,1741-3117,2002-03,1,1,,,,,
,Race & Class,0306-3968,1741-3125,1999-03,40,02-Mar,,,,,Y
,Race and Justice,2153-3687,,2011-01,1,1,,,,,
,Rationality and Society,1043-4631,1461-7358,1999-02,11,1,,,,,
,Rehabilitation Counseling Bulletin,0034-3552,1538-4853,1999-01,43,1,,,,,
,RELC Journal,0033-6882,1745-526X,1999-06,30,1,,,,,
,Remedial and Special Education,0741-9325,1538-4756,1999-01,20,1,,,,,
,Reproductive Sciences,1933-7191,1933-7205,1999-01,6,1,,,,,
,Research on Aging,0164-0275,1552-7573,1999-01,21,1,,,,,
,Research on Social Work Practice,1049-7315,1552-7581,1999-01,9,1,,,,,
,Research Studies in Music Education,1321-103X,1834-5530,1999-06,12,1,,,,,
,Review of Educational Research  ,0034-6543,1935-1046,1999-01,69,1,,,,,Y
,Review of Market Integration,0974-9292,0975-4709,2009-04,1,1,,,,,
,Review of Public Personnel Administration,0734-371X,1552-759X,1999-01,19,1,,,,,
,Review of Radical Political Economics,0486-6134,1552-8502,1999-03,31,1,,,,,Y
,Review of Research in Education  ,0091-732X,1935-1038,1999-01,24,1,,,,,
,Reviews of Human Factors and Ergonomics ,1557-234X,,2005-06,1,1,,,,,
,Scandinavian Journal of Public Health,1403-4948,1651-1905,1999-01,27,1,,,,,
,School Psychology International,0143-0343,1461-7374,1999-02,20,1,,,,,
,Science Communication,1075-5470,1552-8545,1999-03,20,3,,,,,
,Science Technology and Society,0971-7218,0973-0796,1999-03,4,1,,,,,
,"Science, Technology & Human Values",0162-2439,1552-8251,1999-01,24,1,,,,,
,Second Language Research,0267-6583,1477-0326,1999-01,15,1,,,,,
,Security Dialogue,0967-0106,1460-3640,1999-03,30,1,,,,,
,Seminars in Cardiothoracic and Vascular Anesthesia,1089-2532,1940-5596,1999-03,3,1,,,,,
,Sexual Abuse,1079-0632,1573-286X,1999-01,11,1,,,,,
,Sexualities,1363-4607,1461-7382,1999-02,2,1,,,,,Y
,SIMULATION,0037-5497,1741-3133,1999-01,72,1,,,,,
,Simulation & Gaming,1046-8781,1552-826X,1999-03,30,1,,,,,
,Small Group Research,1046-4964,1552-8278,1999-02,30,1,,,,,
,Social & Legal Studies,0964-6639,1461-7390,1999-03,8,1,,,,,Y
,Social Change,0049-0857,0976-3538,1999-03,29,01-Feb,,,,,
,Social Compass,0037-7686,1461-7404,1999-03,46,1,,,,,
,Social Psychological and Personality Science,1948-5506,1948-5514,2010-01,1,1,,,,,
,Social Psychology Quarterly,0190-2725,1939-8999,2004-03,67,1,,,,,
,Social Science Computer Review,0894-4393,1552-8286,1999-02,17,1,,,,,
,Social Science Information,0539-0184,1461-7412,1999-03,38,1,,,,,
,Social Studies of Science,0306-3127,1460-3659,1999-02,29,1,,,,,Y
,Society and Mental Health,2156-8693,2156-8731,2011-03,1,1,,,,,
,Sociological Methodology,0081-1750,1467-9531,2006-08,36,1,2010,17,1,,
,Sociological Methods & Research,0049-1241,1552-8294,1999-02,27,3,,,,,
,Sociological Theory,0735-2751,1467-9558,1999-01,,,,,,,
,Sociology,0038-0385,1469-8684,1999-02,33,1,,,,,Y
,Sociology of Education,0038-0407,1939-8573,2004-01,77,1,,,,,
,South Asia Economic Journal,1391-5614,0973-077X,2000-03,1,1,,,,,
,South Asia Research,0262-7280,1741-3141,1999-04,19,1,,,,,
,South Asian Survey,0971-5231,0973-0788,1999-03,6,1,2010,14,1,,
,Space and Culture,1206-3312,1552-8308,2000-01,2,04-May,,,,,Y
,Sports Health,1941-7381,1941-0921,2009-01,1,1,,,,,
,State and Local Government Review,0160-323X,1943-3409,1999-04,31,1,,,,,
,State Politics & Policy Quarterly,1532-4400,1946-1607,2001-03,1,1,,,,,
,Statistical Methods in Medical Research,0962-2802,1477-0334,1999-02,8,1,,,,,
,Statistical Modelling,1471-082X,1477-0342,2001-04,1,1,,,,,
,Strategic Organization,1476-1270,1741-315X,2003-02,1,1,,,,,
,Structural Health Monitoring,1475-9217,1741-3168,2002-07,1,1,,,,,
,Studies in Christian Ethics ,0953-9468,1745-5235,1999-01,12,1,,,,,
,Studies in History,0257-6430,0973-080X,1999-02,15,1,,,,,
,Studies in Religion/ Sciences Religieuses ,0008-4298,2042-0587,1999-03,28,1,,,,,
,Surgical Innovation,1553-3506,1553-3514,1999-03,6,1,,,,,
,Teacher Education and Special Education,0888-4064,1944-4931,1999-01,22,1,,,,,
,Teaching of Psychology,0098-6283,1532-8023,2011-01,38,1,,,,,
,Teaching Public Administration,0144-7394,2047-8720,1999-01,,,2007-09,27,2,,
,Teaching Sociology,0092-055X,1939-862X,2004-01,32,1,,,,,
,Television & New Media,1527-4764,1552-8316,2000-02,1,1,,,,,Y
,Textile Research Journal,0040-5175,1746-7748,1999-01,69,1,,,,,
,The American Journal of Sports Medicine,0363-5465,1552-3365,1999-01,27,1,,,,,
,The American Review of Public Administration,0275-0740,1552-3357,1999-03,29,1,,,,,
,The ANNALS of the American Academy of Political and Social Science,0002-7162,1552-3349,1999-01,561,1,,,,,
,The British Journal of Diabetes & Vascular Disease,1474-6514,1753-4305,2001-08,1,1,,,,,
,The Counseling Psychologist ,0011-0000,1552-3861,1999-01,27,1,,,,,
,The Diabetes Educator ,0145-7217,1554-6063,1999-01,25,1,,,,,
,The Family Journal ,1066-4807,1552-3950,1999-01,7,1,,,,,
,The Holocene,0959-6836,1477-0911,1999-01,9,1,,,,,Y
,The Indian Historical Review ,0376-9836,0975-5977,1999-07,26,2,,,,,
,The International Journal of Lower Extremity Wounds,1534-7346,1552-6941,2002-03,1,1,,,,,
,The International Journal of Press/Politics,1940-1612,1940-1620,1999-01,4,1,,,,,
,The Journal of Applied Behavioral Science,0021-8863,1552-6879,1999-03,35,1,,,,,
,The Journal of Business Communication,0021-9435,1552-4582,1999-01,36,1,,,,,
,The Journal of Clinical Pharmacology,0091-2700,1552-4604,1999-01,39,1,,,,,
,The Journal of Commonwealth Literature,0021-9894,1741-6442,1999-01,34,1,,,,,Y
,The Journal of Early Adolescence,0272-4316,1552-5449,1999-02,19,1,,,,,
,The Journal of Environment & Development,1070-4965,1552-5465,1999-03,8,1,,,,,
,The Journal of Special Education,0022-4669,1538-4764,1999-01,32,4,,,,,
,The Neurohospitalist,1941-8744,1941-8752,2011-01,1,1,,,,,
,The Neuroscientist,1073-8584,1089-4098,1999-01,5,1,,,,,
,The Prison Journal,0032-8855,1552-7522,1999-03,79,1,,,,,
,Theology,0040-571X,2044-2696,1999-01,102,805,,,,,
,Theology Today,0040-5736,2044-2556,1999-01,55,4,,,,,
,Theoretical Criminology,1362-4806,1461-7439,1999-02,3,1,,,,,
,Theory & Psychology,0959-3543,1461-7447,1999-02,9,1,,,,,
,Theory and Research in Education,1477-8785,1741-3192,2003-03,1,1,,,,,
,"Theory, Culture & Society",0263-2764,1460-3616,1999-05,15,03-Apr,,,,,Y
,Therapeutic Advances in Cardiovascular Disease,1753-9447,1753-9455,2007-10,1,1,,,,,
,Therapeutic Advances in Chronic Disease,2040-6223,2040-6231,2010-05,1,1,,,,,
,Therapeutic Advances in Drug Safety,2042-0986,2042-0994,2010-10,1,1,,,,,
,Therapeutic Advances in Endocrinology and Metabolism,2042-0188,2042-0196,2010-04,1,1,,,,,
,Therapeutic Advances in Gastroenterology,1756-283X,1756-2848,2008-07,1,1,,,,,
,Therapeutic Advances in Hematology,2040-6207,2040-6215,2010-12,1,1,,,,,
,Therapeutic Advances in Medical Oncology,1758-8340,1758-8359,2009-07,1,1,,,,,
,Therapeutic Advances in Musculoskeletal Disease,1759-720X,1759-7218,2009-10,1,1,,,,,
,Therapeutic Advances in Neurological Disorders,1756-2856,1756-2864,2008-07,1,1,,,,,
,Therapeutic Advances in Psychopharmacology,2045-1253,2045-1261,2011-02,1,1,,,,,
,Therapeutic Advances in Respiratory Disease,1753-4658,1753-4666,2007-10,1,1,,,,,
,Therapeutic Advances in Urology,1756-2872,1756-2880,2009-04,1,1,,,,,
,Thesis Eleven,0725-5136,1461-7455,1999-02,56,1,2007-09,27,2,,
,Time & Society,0961-463X,1461-7463,1999-03,8,1,,,,,
,Topics in Early Childhood Special Education,0271-1214,1538-4845,1999-01,19,1,,,,,
,Tourism and Hospitality Research,1467-3584,1742-9692,2004-03,5,1,,,,,
,Tourist Studies,1468-7976,1741-3206,2001-06,1,1,,,,,
,Toxicologic Pathology,0192-6233,1533-1601,1999-01,27,1,,,,,
,Toxicology and Industrial Health,0748-2337,1477-0393,1999-02,15,01-Feb,,,,,
,Transactions of the Institute of Measurement and Control,0142-3312,1477-0369,1999-01,21,1,,,,,
,Transcultural Psychiatry,1363-4615,1461-7471,1999-03,36,1,,,,,
,Transfer:  European Review of Labour and Research,1024-2589,1996-7284,1999-01,5,01-Feb,,,,,
,Transformation: An International Journal of Holistic Mission Studies,0265-3788,1759-8931,1999-01,16,1,,,,,
,Trauma,1460-4086,1477-0350,1999-01,1,1,,,,,
,"Trauma, Violence, & Abuse",1524-8380,1552-8324,2000-01,1,1,,,,,
,Traumatology,1534-7656,1085-9373,1999-01,5,1,,,,,
,Trends in Amplification,1084-7138,1940-5588,1999-03,4,1,,,,,
,UPDATE: Applications of Research in Music Education,8755-1233,1945-0109,1999-01,18,1,,,,,
,Urban Affairs Review,1078-0874,1552-8332,1999-01,34,3,,,,,
,Urban Education,0042-0859,1552-8340,1999-01,33,5,,,,,
,Urban Studies,0042-0980,1360-063X,1999-01,36,1,,,,,Y
,Vascular and Endovascular Surgery,1538-5744,1938-9116,1999-01,33,1,,,,,
,Vascular Medicine,1358-863X,1477-0377,1999-02,4,1,,,,,
,Veterinary Pathology,0300-9858,1544-2217,1999-01,36,1,,,,,
,Violence Against Women,1077-8012,1552-8448,1999-01,5,1,,,,,
,Vision,0972-2629,,1999-01,3,1,,,,,
,Visual Communication,1470-3572,1741-3214,2002-02,1,1,,,,,
,War in History,0968-3445,1477-0385,1999-01,6,1,,,,,
,Waste Management and Research,0734-242X,1096-3669,1999-02,17,1,,,,,
,Western Journal of Nursing Research,0193-9459,1552-8456,1999-02,21,1,,,,,
,Word of Mouth,1048-3950,2154-3941,1999-02,10,4,,,,,
,Work and Occupations,0730-8884,1552-8464,1999-02,26,1,,,,,
,"Work, Employment & Society",0950-0170,1469-8722,1999-03,13,1,,,,,Y
,World Journal for Pediatric and Congenital Heart Surgery,2150-1351,2150-136X,2010-04,1,1,,,,,
,World Policy Journal,0740-2775,1936-0924,2006-06,23,2,,,,,
,Written Communication,0741-0883,1552-8472,1999-01,16,1,,,,,
,Young,1103-3088,1741-3222,1999-02,7,1,,,,,
,Young Exceptional Children,1096-2506,2154-400X,1999-03,2,2,,,,,
,Youth & Society,0044-118X,1552-8499,1999-01,30,3,,,,,
,Youth Justice,1473-2254,1747-6283,2001-04,1,1,,,,,
,Youth Violence and Juvenile Justice,1541-2040,1556-9330,2003-01,1,1,,,,,
