JD ID for Subcribing Institution,636,,,,,,,,,,
SO Identifier,sage_collection_2012_2012_nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,Comparative Political Studies,0010-4140,1552-3829,1999-02,32,1,,,,,
,Compensation & Benefits Review,0886-3687,1552-3837,1999-01,31,1,,,,,
,Concurrent Engineering,1063-293X,1531-2003,1999-03,7,1,,,,,
,Conflict Management and Peace Science,0738-8942,1549-9219,1999-01,17,1,,,,,
,Contemporary Education Dialogue,0973-1849,,2003-07,1,1,,,,,
,Contemporary Sociology: A Journal of Reviews,0094-3061,1939-8638,2004-01,33,1,,,,,
,Contexts,1536-5042,1537-6052,2002-02,1,1,,,,,
,Contributions to Indian Sociology,0069-9667,0973-0648,1999-02,33,01-Feb,,,,,Y
,Convergence,1354-8565,1748-7382,1999-03,5,1,,,,,Y
,Cooperation and Conflict,0010-8367,1460-3691,1999-03,34,1,,,,,
,Cornell Hospitality Quarterly,1938-9655,1938-9663,1999-02,40,1,,,,,
,Counseling Outcome Research and Evaluation,2150-1378,2150-1386,2010-06,1,1,,,,,
,Crime & Delinquency,0011-1287,1552-387X,1999-01,45,1,,,,,
,"Crime, Media, Culture",1741-6590,1741-6604,2005-03,1,1,,,,,
,Criminal Justice and Behavior,0093-8548,1552-3594,1999-03,26,1,,,,,
,Criminal Justice Policy Review,0887-4034,1552-3586,1999-06,9,2,,,,,
,Criminal Justice Review,0734-0168,1556-3839,1999-05,24,1,,,,,
,Criminology & Criminal Justice,1748-8958,1748-8966,2001-04,1,1,,,,,
,Critical Social Policy,0261-0183,1461-703X,1999-02,19,1,,,,,Y
,Critical Sociology,0896-9205,1569-1632,1999-01,25,1,,,,,
