@subscriber_role:=rdv_id
12
@jusplogin :=idns_id
90
@jusp:=idns_id
87
rdv_value	core_start_year	core_end_year	id_value	id_value	tipp_id
Yes	2012	2014	200510	sal	2122
Yes	2012	2014	200276	sal	2153
Yes	2012	2014	200350	sal	2164
Yes	2012	2014	200612	sal	2173
Yes	2012	2014	201015	sal	2180
Yes	2012	2014	200645	sal	2201
Yes	2012	2014	201633	sal	2210
Yes	2012	2014	200295	sal	2212
Yes	2012	2014	201561	sal	2213
Yes	2012	2014	201672	sal	2215
Yes	2012	2014	201694	sal	2217
Yes	2012	2014	200296	sal	2218
Yes	2012	2014	201211	sal	2220
Yes	2012	2014	200727	sal	2230
Yes	2012	2014	200498	sal	2242
Yes	2012	2014	201508	sal	2255
Yes	2012	2014	200303	sal	2261
Yes	2012	2014	201548	sal	2285
Yes	2012	2014	202124	sal	2299
Yes	2012	2014	200319	sal	2301
Yes	2012	2014	201721	sal	2302
Yes	2012	2014	200615	sal	2303
Yes	2012	2014	201547	sal	2311
Yes	2012	2014	201712	sal	2328
Yes	2012	2014	200894	sal	2337
Yes	2012	2014	200536	sal	2353
Yes	2012	2014	201920	sal	2385
Yes	2012	2014	201199	sal	2389
Yes	2012	2014	200513	sal	2392
Yes	2012	2014	200500	sal	2397
Yes	2012	2014	200507	sal	2410
Yes	2012	2014	201781	sal	2411
Yes	2012	2014	201216	sal	2423
Yes	2012	2014	200958	sal	2427
Yes	2012	2014	200083	sal	2439
Yes	2012	2014	201578	sal	2450
Yes	2012	2014	200124	sal	2451
Yes	2012	2014	200125	sal	2452
Yes	2012	2014	201214	sal	2453
Yes	2012	2014	200628	sal	2460
Yes	2012	2014	200207	sal	2467
Yes	2012	2014	200218	sal	2474
Yes	2012	2014	200664	sal	2476
Yes	2012	2014	200899	sal	2484
Yes	2012	2014	200277	sal	2493
Yes	2012	2014	200317	sal	2499
Yes	2012	2014	200355	sal	2506
Yes	2012	2014	201812	sal	2509
Yes	2012	2014	200841	sal	2511
Yes	2012	2014	200882	sal	2559
Yes	2011	2012	7556	hud	75
Yes	2011	2012	7557	hud	74
Yes	2011	2012	7554	hud	72
Yes	2011	2012	7555	hud	73
Yes	2011	2012	7561	hud	77
Yes	2011	2012	7562	hud	78
Yes	2011	2012	7564	hud	79
Yes	2011	2012	7565	hud	81
Yes	2011	2012	7566	hud	80
Yes	2011	2012	7567	hud	82
Yes	2011	2012	7568	hud	83
Yes	2011	2012	7569	hud	84
Yes	2011	2012	7572	hud	85
Yes	2011	2012	7591	hud	86
Yes	2011	2012	7573	hud	87
Yes	2011	2012	7574	hud	88
Yes	2011	2012	7575	hud	89
Yes	2011	2012	7576	hud	98
Yes	2011	2012	7577	hud	90
Yes	2011	2012	7580	hud	92
Yes	2011	2012	7581	hud	93
Yes	2011	2012	7560	hud	94
Yes	2011	2012	7584	hud	95
Yes	2011	2012	7585	hud	96
Yes	2011	2012	7586	hud	97
Yes	2012	2014	200003	uow	1197
Yes	2012	2014	200443	uow	1250
Yes	2012	2014	200415	uow	1272
Yes	2012	2014	200995	uow	1282
Yes	2012	2014	200039	uow	1295
Yes	2012	2014	200040	uow	1298
Yes	2012	2014	200495	uow	1300
Yes	2012	2014	202097	uow	1310
Yes	2012	2014	200069	uow	1362
Yes	2012	2014	200515	uow	1378
Yes	2012	2014	200610	uow	1380
Yes	2012	2014	200073	uow	1381
Yes	2012	2014	200075	uow	1382
Yes	2012	2014	200076	uow	1383
Yes	2012	2014	201550	uow	1384
Yes	2012	2014	200077	uow	1385
Yes	2012	2014	201271	uow	1387
Yes	2012	2014	201583	uow	1389
Yes	2012	2014	200081	uow	1390
Yes	2012	2014	200516	uow	1392
Yes	2012	2014	201154	uow	1403
Yes	2012	2014	200100	uow	1432
Yes	2012	2014	201969	uow	1433
Yes	2012	2014	200773	uow	1465
Yes	2012	2014	201291	uow	1468
Yes	2012	2014	201993	uow	1469
Yes	2012	2014	200107	uow	1499
Yes	2012	2014	201798	uow	1500
Yes	2012	2014	200108	uow	1501
Yes	2012	2014	201156	uow	1510
Yes	2012	2014	200115	uow	1523
Yes	2012	2014	201340	uow	1539
Yes	2012	2014	200626	uow	1559
Yes	2012	2014	200122	uow	1560
Yes	2012	2014	200123	uow	1561
Yes	2012	2014	200636	uow	1566
Yes	2012	2014	200126	uow	1567
Yes	2012	2014	202011	uow	1590
Yes	2012	2014	200400	uow	1622
Yes	2012	2014	200642	uow	1648
Yes	2012	2014	200401	uow	1649
Yes	2011	2014	201668	uow	1658
Yes	2012	2014	201141	uow	1673
Yes	2012	2014	201217	uow	1674
Yes	2012	2014	201946	uow	1687
Yes	2012	2014	200152	uow	1707
Yes	2012	2014	201321	uow	1717
Yes	2012	2014	201117	uow	1733
Yes	2012	2014	200162	uow	1734
Yes	2012	2014	200767	uow	1741
Yes	2012	2014	201267	uow	1745
Yes	2012	2014	200434	uow	1746
Yes	2012	2014	201151	uow	1747
Yes	2012	2014	200471	uow	1753
Yes	2012	2014	200168	uow	1757
Yes	2012	2014	201310	uow	1768
Yes	2012	2014	201975	uow	1811
Yes	2012	2014	201650	uow	1813
Yes	2012	2014	201474	uow	1835
Yes	2012	2014	201555	uow	1836
Yes	2012	2014	200745	uow	1837
Yes	2012	2014	201972	uow	1859
Yes	2012	2014	200209	uow	1863
Yes	2012	2014	200190	uow	1869
Yes	2012	2014	200959	uow	1883
Yes	2012	2014	201565	uow	1886
Yes	2012	2014	200730	uow	1899
Yes	2012	2014	200210	uow	1918
Yes	2012	2014	200638	uow	1922
Yes	2012	2014	200690	uow	1955
Yes	2012	2014	200221	uow	1957
Yes	2012	2014	201147	uow	1970
Yes	2012	2014	201029	uow	1971
Yes	2012	2014	200614	uow	1975
Yes	2012	2014	200227	uow	1980
Yes	2012	2014	200231	uow	1991
Yes	2011	2014	201959	uow	1998
Yes	2012	2014	201209	uow	2000
Yes	2012	2014	201194	uow	2004
Yes	2012	2014	201200	uow	2064
Yes	2012	2014	200886	uow	2072
Yes	2012	2014	200262	uow	2087
Yes	2012	2014	202121	uow	2091
Yes	2012	2014	201034	uow	2094
Yes	2012	2014	200264	uow	2095
Yes	2011	2014	201539	uow	2098
Yes	2012	2014	200609	uow	2099
Yes	2012	2014	200641	uow	2102
Yes	2012	2014	200350	uow	2164
Yes	2012	2014	200645	uow	2201
Yes	2012	2014	200296	uow	2218
Yes	2012	2014	200727	uow	2230
Yes	2012	2014	200303	uow	2261
Yes	2012	2014	200411	uow	2274
Yes	2012	2014	200573	uow	2298
Yes	2011	2014	202124	uow	2299
Yes	2012	2014	200319	uow	2301
Yes	2012	2014	201721	uow	2302
Yes	2012	2014	200615	uow	2303
Yes	2012	2014	201860	uow	2304
Yes	2012	2014	200769	uow	2314
Yes	2011	2014	201712	uow	2328
Yes	2012	2014	200324	uow	2333
Yes	2012	2014	200669	uow	2334
Yes	2012	2014	201942	uow	2338
Yes	2012	2014	200326	uow	2340
Yes	2012	2014	201131	uow	2344
Yes	2012	2014	201807	uow	2361
Yes	2012	2014	200346	uow	2382
Yes	2012	2014	201920	uow	2385
Yes	2012	2014	200500	uow	2397
Yes	2012	2014	200507	uow	2410
Yes	2012	2014	201216	uow	2423
Yes	2012	2014	200083	uow	2439
Yes	2012	2014	201578	uow	2450
Yes	2012	2014	200124	uow	2451
Yes	2012	2014	200146	uow	2456
Yes	2012	2014	200628	uow	2460
Yes	2012	2014	200207	uow	2467
Yes	2012	2014	200213	uow	2470
Yes	2012	2014	200218	uow	2474
Yes	2012	2014	200661	uow	2475
Yes	2012	2014	200664	uow	2476
Yes	2012	2014	200223	uow	2478
Yes	2012	2014	200243	uow	2483
Yes	2012	2014	200899	uow	2484
Yes	2012	2014	201659	uow	2490
Yes	2012	2014	200277	uow	2493
Yes	2012	2014	200317	uow	2499
Yes	2012	2014	200355	uow	2506
Yes	2012	2014	200841	uow	2511
Yes	2012	2014	200372	uow	2516
Yes	2012	2014	200169	uow	2521
Yes	2012	2014	200373	uow	2526
Yes	2012	2014	200377	uow	2542
Yes	2011	2012	5421	kcl	11350
Yes	2011	2012	5423	kcl	11352
Yes	2011	2012	6625	cra	11406
Yes	2011	2012	6641	cra	11421
Yes	2011	2012	6642	cra	11422
Yes	2012	2014	201895	uow	7453
Yes	2012	2014	202026	uow	7457
Yes	2012	2014	202126	uow	7458
Yes	2012	2014	202127	uow	7460
Yes	2012	2014	202029	uow	7462
Yes	2012	2014	202033	uow	7464
Yes	2011	2012	9	uea	3076
Yes	2011	2012	1311	uea	3101
Yes	2011	2012	1422	uea	3121
Yes	2011	2012	2352	uea	3132
Yes	2011	2012	70	uea	3146
Yes	2011	2012	85	uea	3183
Yes	2011	2012	3729	uea	3184
Yes	2011	2012	1768	uea	3190
Yes	2011	2012	2756	uea	3198
Yes	2011	2012	112	uea	3220
Yes	2011	2012	114	uea	3221
Yes	2011	2012	1438	uea	3233
Yes	2011	2012	746	uea	3275
Yes	2011	2012	2496	uea	3282
Yes	2011	2012	1063	uea	3283
Yes	2011	2012	173	uea	3309
Yes	2011	2012	189	uea	3334
Yes	2011	2012	1064	uea	3342
Yes	2011	2012	1283	uea	3346
Yes	2011	2012	3670	uea	3356
Yes	2011	2012	1050	uea	3386
Yes	2011	2012	1320	uea	3387
Yes	2011	2012	1308	uea	3390
Yes	2011	2012	1318	uea	3398
Yes	2011	2012	1890	uea	3419
Yes	2011	2012	2350	uea	3427
Yes	2011	2012	1948	uea	3457
Yes	2011	2012	2472	uea	3459
Yes	2011	2012	1526	uea	3476
Yes	2011	2012	3705	uea	3482
Yes	2011	2012	1608	uea	3566
Yes	2011	2012	3806	uea	3572
Yes	2011	2012	2971	uea	3579
Yes	2011	2012	2093	uea	3595
Yes	2011	2012	5392	uea	3611
Yes	2011	2012	2278	uea	3614
Yes	2011	2012	2129	uea	3627
Yes	2011	2012	354	uea	3646
Yes	2011	2012	832	uea	3665
Yes	2011	2012	1177	uea	3681
Yes	2011	2012	396	uea	3736
Yes	2011	2012	3635	uea	3765
Yes	2011	2012	4235	uea	3800
Yes	2011	2012	3708	uea	3802
Yes	2011	2012	425	uea	3808
Yes	2011	2012	2214	uea	3851
Yes	2011	2012	3367	uea	3854
Yes	2011	2012	4839	uea	3859
Yes	2011	2012	2290	uea	3883
Yes	2011	2012	1067	uea	3897
Yes	2011	2012	2128	uea	3904
Yes	2011	2012	506	uea	3922
Yes	2011	2012	3638	uea	3967
Yes	2011	2012	2288	uea	3992
Yes	2011	2012	559	uea	4029
Yes	2011	2012	1993	uea	4063
