@issn_type_id:=idns_id
7
@eissn_type_id:=idns_id
6
@doi_type_id:=idns_id
8
@e_issn2_type_id:=idns_id
91
ti_id	ISBN	EISSN	DOI	EISSN2	tipp_coverage_note
10620	0004-9514	NULL	NULL	NULL	Now:Journal of Physiotherapy 
10627	0950-3501	NULL	NULL	NULL	Now:Best Practice & Research Clinical Anaesthesiology 
10629	0950-3528	NULL	NULL	NULL	Now:Best Practice & Research Clinical Gastroenterology 
10630	0950-3536	NULL	NULL	NULL	Now:Best Practice & Research Clinical Haematology 
10631	0950-3552	NULL	NULL	NULL	Now:Best Practice & Research Clinical Obstetrics & Gynaecology 
10632	0950-3579	NULL	NULL	NULL	Now:Best Practice & Research Clinical Rheumatology 
10637	0091-6773	NULL	NULL	NULL	Now:Behavioral and Neural Biology 
10641	0005-8165	NULL	NULL	NULL	Now:Pathology - Research and Practice 
10649	0147-7552	NULL	NULL	NULL	Now:Neuroscience & Biobehavioral Reviews 
10653	0307-4412	NULL	NULL	NULL	Now:Biochemistry and Molecular Biology Education 
10655	0006-2944	NULL	NULL	NULL	Now:Biochemical Medicine and Metabolic Biology 
10659	0015-3796	NULL	NULL	NULL	Merged:Journal of Plant Physiology 
10661	0006-3002	NULL	NULL	NULL	Now:Biochimica et Biophysica Acta (BBA) - General Subjects 
10679	0304-4173	NULL	NULL	NULL	Merged:Biochimica et Biophysica Acta (BBA) - Bioenergetics 
10680	0304-4157	NULL	NULL	NULL	Merged:Biochimica et Biophysica Acta (BBA) - Biomembranes 
10682	0926-6577	NULL	NULL	NULL	Now:Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis 
10683	0926-6569	NULL	NULL	NULL	Now:Biochimica et Biophysica Acta (BBA) - Enzymology and Biological Oxidation 
10684	0926-6542	NULL	NULL	NULL	Now:Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism 
10685	0926-6526	NULL	NULL	NULL	Now:Biochimica et Biophysica Acta (BBA) - Mucoproteins and Mucopolysaccharides 
10686	0926-6550	NULL	NULL	NULL	Now:Biochimica et Biophysica Acta (BBA) - Nucleic Acids and Protein Synthesis 
10689	0302-4598	NULL	NULL	NULL	Now:Bioelectrochemistry 
10691	0006-3061	NULL	NULL	NULL	Now:Journal of Inorganic Biochemistry 
10700	0144-4565	NULL	NULL	NULL	Merged:Bioresource Technology 
10718	0265-928X	NULL	NULL	NULL	Now:Biosensors and Bioelectronics 
10720	1478-5382	NULL	NULL	NULL	Now:Drug Discovery Today:BIOSILICO 
10729	0169-6009	NULL	NULL	NULL	Merged:Bone 
10736	1385-299X	NULL	NULL	NULL	Merged:Brain Research 
10742	0007-0785	NULL	NULL	NULL	Now:Homeopathy 
10745	0306-5456	NULL	NULL	NULL	Now:BJOG:An International Journal of Obstetrics and Gynaecology 
10747	0007-117X	NULL	NULL	NULL	Now:British Journal of Oral and Maxillofacial Surgery 
10748	0007-1226	NULL	NULL	NULL	Now:Journal of Plastic, Reconstructive & Aesthetic Surgery 
10749	0366-0850	NULL	NULL	NULL	Now:British Journal of Tuberculosis and Diseases of the Chest 
10751	0007-1935	NULL	NULL	NULL	Now:The Veterinary Journal 
10753	0007-3628	NULL	NULL	NULL	Now:Building and Environment 
10754	0020-2452	NULL	NULL	NULL	Merged:Microbes and Infection 
10756	0924-4212	NULL	NULL	NULL	Now:Cancer/Radiothérapie 
10758	0007-1528	NULL	NULL	NULL	Now:Mycologist 
10764	0315-5463	NULL	NULL	NULL	Now:Food Research International 
10767	0820-5930	NULL	NULL	NULL	Now:Journal of Medical Imaging and Radiation Sciences 
10769	0361-090X	NULL	NULL	NULL	Now:Cancer Epidemiology 
10772	0165-4608	NULL	NULL	NULL	Now:Cancer Genetics 
10784	1522-1865	NULL	NULL	NULL	Now:Cardiovascular Revascularization Medicine 
10787	0167-2231	NULL	NULL	NULL	Merged:Journal of Monetary Economics 
10792	0309-1651	NULL	NULL	NULL	Now:Cell Biology International 
10794	0045-6039	NULL	NULL	NULL	Now:Cell Differentiation and Development 
10803	0390-5519	NULL	NULL	NULL	Now:Ceramics International 
10811	0168-9622	NULL	NULL	NULL	Merged:Chemical Geology 
10812	1074-9098	NULL	NULL	NULL	Now:Journal of Chemical Health and Safety 
10821	1465-9972	NULL	NULL	NULL	Merged:Chemosphere 
10822	1052-3359	NULL	NULL	NULL	Now:Thoracic Surgery Clinics 
10828	1672-2515	NULL	NULL	NULL	Now:Particuology 
10830	0146-6364	NULL	NULL	NULL	Now:Chinese Astronomy and Astrophysics 
10843	0001-4001	NULL	NULL	NULL	Merged:Annales de Chirurgie 
10845	0009-5907	NULL	NULL	NULL	Merged:Journal of Chromatography A 
10857	0928-0197	NULL	NULL	NULL	Now:Journal of Clinical Virology 
10871	0090-1229	NULL	NULL	NULL	Now:Clinical Immunology 
10872	0197-1859	NULL	NULL	NULL	Now:Clinical and Applied Immunology Reviews 
10875	1526-9655	NULL	NULL	NULL	Now:Clinical Lymphoma and Myeloma 
10878	0267-6605	NULL	NULL	NULL	Merged:Biomaterials 
10887	1941-4390	NULL	NULL	NULL	Now:Clinical Ovarian and Other Gynecologic Cancer 
10890	1095-0397	NULL	NULL	NULL	Now:Molecular Imaging & Biology 
10891	1540-0352	NULL	NULL	NULL	Now:Clinical Genitourinary Cancer 
10898	1096-2867	NULL	NULL	NULL	Now:Topics in Companion Animal Medicine 
10904	0300-595X	NULL	NULL	NULL	Now:Baillière's Clinical Endocrinology and Metabolism 
10913	0818-8157	NULL	NULL	NULL	Now:Confederation of Australian Critical Care Nurses Journal 
10917	0926-6410	NULL	NULL	NULL	Merged:Brain Research 
10922	0174-173X	NULL	NULL	NULL	Now:Matrix 
10924	0166-6622	NULL	NULL	NULL	Now:Colloids and Surfaces A:Physicochemical and Engineering Aspects and  Colloids and Surfaces B:Biointerfaces 
10931	0588-8174	NULL	NULL	NULL	Now:Studies in Comparative Communism 
10934	0010-4035	NULL	NULL	NULL	Now:General Pharmacology:The Vascular System 
10935	0010-406X	NULL	NULL	NULL	Now:Comparative Biochemistry and Physiology Part A:Physiology,  Comparative Biochemistry and Physiology Part B:Comparative Biochemistry and  Comparative Biochemistry and Physiology Part C:Comparative Pharmacology 
10947	1353-6117	NULL	NULL	NULL	Now:Complementary Therapies in Clinical Practice 
10949	0010-4361	NULL	NULL	NULL	Merged:Composites Part A:Applied Science and Manufacturing 
10951	0961-9526	NULL	NULL	NULL	Now:Composites Part B:Engineering 
10952	0956-7143	NULL	NULL	NULL	Merged:Composites Part A:Applied Science and Manufacturing 
10959	0764-4442	NULL	NULL	NULL	Now:Comptes Rendus Mathematique 
10960	1251-8050	NULL	NULL	NULL	Now:Comptes Rendus Geoscience and  Comptes Rendus Palevol 
10963	1251-8069	NULL	NULL	NULL	Now:Comptes Rendus de l'Académie des Sciences - Series IIB - Mechanics-Physics-Astronomy 
10964	1387-1609	NULL	NULL	NULL	Now:Comptes Rendus Chimie 
10965	0764-4469	NULL	NULL	NULL	Now:Comptes Rendus Biologies 
10966	1296-2147	NULL	NULL	NULL	Now:Comptes Rendus Physique 
10973	1089-3156	NULL	NULL	NULL	Merged:Polymer 
10983	0142-0496	NULL	NULL	NULL	Now:Computer Fraud & Security 
10984	0146-664X	NULL	NULL	NULL	Now:Computer Vision, Graphics, and Image Processing 
10985	0951-5240	NULL	NULL	NULL	Merged:Robotics and Computer-Integrated Manufacturing 
10986	0096-0551	NULL	NULL	NULL	Now:Computer Languages, Systems & Structures 
10992	0376-5075	NULL	NULL	NULL	Now:Computer Networks and ISDN Systems 
10995	0167-7977	NULL	NULL	NULL	Merged:Physics Reports 
10996	0010-468X	NULL	NULL	NULL	Now:Computer Methods and Programs in Biomedicine 
11005	0363-8235	NULL	NULL	NULL	Now:Computerized Radiology 
11007	0097-8485	NULL	NULL	NULL	Now:Computational Biology and Chemistry 
11018	0305-7097	NULL	NULL	NULL	Now:Urban Systems 
11019	0010-4809	NULL	NULL	NULL	Now:Journal of Biomedical Informatics 
11023	0167-8051	NULL	NULL	NULL	Merged:Computer Standards & Interfaces 
11028	0956-0521	NULL	NULL	NULL	Merged:Advances in Engineering Software 
11031	0361-3658	NULL	NULL	NULL	Merged:Resources, Conservation and Recycling 
11039	0197-2456	NULL	NULL	NULL	Now:Contemporary Clinical Trials 
11046	0045-8732	NULL	NULL	NULL	Now:Space Research Today 
11058	0953-7112	NULL	NULL	NULL	Now:Trends in Anaesthesia and Critical Care 
11060	0968-6053	NULL	NULL	NULL	Now:Diagnostic Histopathology 
11061	0957-5847	NULL	NULL	NULL	Now:Obstetrics, Gynaecology & Reproductive Medicine 
11077	0268-0890	NULL	NULL	NULL	Now:Orthopaedics and Trauma 
11078	0957-5839	NULL	NULL	NULL	Now:Paediatrics and Child Health 
11084	0045-9380	NULL	NULL	NULL	Now:Current Problems in Pediatric and Adolescent Health Care 
11086	0149-7944	NULL	NULL	NULL	Now:Journal of Surgical Education 
11091	1049-9660	NULL	NULL	NULL	Now:Computer Vision and Image Understanding 
11097	0011-684X	NULL	NULL	NULL	Now:Information and Software Technology 
11100	0146-6313	NULL	NULL	NULL	Now:Deep Sea Research and Oceanographic Abstracts 
11119	0165-3806	NULL	NULL	NULL	Merged:Brain Research 
11168	1570-9124	NULL	NULL	NULL	Now:EAU-EBU Update Series 
11200	0300-9416	NULL	NULL	NULL	Now:Surface Technology 
11201	0013-4694	NULL	NULL	NULL	Now:Clinical Neurophysiology 
11202	0924-980X	NULL	NULL	NULL	Merged:Clinical Neurophysiology 
11203	0168-5597	NULL	NULL	NULL	Merged:Clinical Neurophysiology 
11204	0892-0354	NULL	NULL	NULL	Merged:Micron 
11219	1762-5661	NULL	NULL	NULL	Now:EMC - Odontologie and  EMC - Stomatologie 
11227	1638-6221	NULL	NULL	NULL	Now:EMC - Hépato-Gastroenterologie 
11246	1762-567X	NULL	NULL	NULL	Now:EMC - Kinésithérapie and  EMC - Podologie 
11278	0167-5826	NULL	NULL	NULL	Merged:Bioresource Technology 
11285	0264-682X	NULL	NULL	NULL	Now:Engineering Analysis with Boundary Elements 
11287	0377-841X	NULL	NULL	NULL	Now:Engineering Costs and Production Economics 
11293	0167-5419	NULL	NULL	NULL	Now:Journal of Engineering and Technology Management 
11305	0013-9327	NULL	NULL	NULL	Now:Environmental Pollution Series A, Ecological and Biological and  Environmental Pollution Series B, Chemical and Physical 
11310	0266-9838	NULL	NULL	NULL	Now:Environmental Modelling & Software 
11319	1751-4991	NULL	NULL	NULL	Now:e-SPEN Journal 
11320	0302-3524	NULL	NULL	NULL	Now:Estuarine, Coastal and Shelf Science 
11322	0162-3095	NULL	NULL	NULL	Now:Evolution and Human Behavior 
11323	0959-3527	NULL	NULL	NULL	Now:III-Vs Review 
11324	0303-1268	NULL	NULL	NULL	Now:Microprocessing and Microprogramming 
11330	0014-2964	NULL	NULL	NULL	Now:European Journal of Cancer and Clinical Oncology 
11332	0964-1955	NULL	NULL	NULL	Now:Oral Oncology 
11343	0028-2243	NULL	NULL	NULL	Now:European Journal of Obstetrics & Gynecology and Reproductive Biology 
11352	0926-6917	NULL	NULL	NULL	Now:Environmental Toxicology and Pharmacology 
11353	0922-4106	NULL	NULL	NULL	Merged:European Journal of Pharmacology 
11356	0969-7012	NULL	NULL	NULL	Now:Journal of Purchasing and Supply Management 
11361	0992-4361	NULL	NULL	NULL	Now:Solid State Sciences 
11365	0950-821X	NULL	NULL	NULL	Now:European Journal of Vascular and Endovascular Surgery 
11374	0145-9228	NULL	NULL	NULL	Now:Evaluation in Education 
11375	0886-1633	NULL	NULL	NULL	Now:The American Journal of Evaluation 
11377	1462-9410	NULL	NULL	NULL	Now:Evidence-based Healthcare and Public Health 
11380	1363-4054	NULL	NULL	NULL	Merged:Cancer Treatment Reviews 
11382	1164-0235	NULL	NULL	NULL	Merged:Energy 
11389	0147-5975	NULL	NULL	NULL	Now:Fungal Genetics and Biology 
11394	0014-4908	NULL	NULL	NULL	Now:Experimental Pathology 
11407	0015-0568	NULL	NULL	NULL	Now:Composites Science and Technology 
11408	0268-9499	NULL	NULL	NULL	Now:Fibrinolysis and Proteolysis 
11432	1359-0278	NULL	NULL	NULL	Merged:Structure 
11435	0015-6264	NULL	NULL	NULL	Now:Food and Chemical Toxicology 
11447	1877-8607	NULL	NULL	NULL	Now:Genomic Medicine, Biomarkers, and Health Sciences 
11448	0300-9432	NULL	NULL	NULL	Now:Forensic Science International 
11466	0272-0590	NULL	NULL	NULL	Now:Toxicological Sciences 
11480	0950-4214	NULL	NULL	NULL	Merged:Separation and Purification Technology 
11481	0399-8320	NULL	NULL	NULL	Now:Clinics and Research in Hepatology and Gastroenterology 
11492	0735-0651	NULL	NULL	NULL	Now:Genetic Analysis:Biomolecular Engineering 
11497	0016-660X	NULL	NULL	NULL	Now:Topology and its Applications 
11505	0016-7142	NULL	NULL	NULL	Now:Journal of Applied Geophysics 
11516	1464-2867	NULL	NULL	NULL	Now:Environmental Hazards 
11523	0093-061X	NULL	NULL	NULL	Now:Government Publications Review. Part A and  Government Publications Review. Part B 
11540	0165-2281	NULL	NULL	NULL	Now:Health Policy 
11553	0212-8241	NULL	NULL	NULL	Now:Hipertensión y Riesgo Vascular 
11564	0740-8315	NULL	NULL	NULL	Merged:Journal of Air Medical Transport 
11582	0019-2791	NULL	NULL	NULL	Now:Molecular Immunology 
11585	0167-5699	NULL	NULL	NULL	Now:Trends in Immunology 
11586	1058-6687	NULL	NULL	NULL	Merged:Methods 
11587	0162-3109	NULL	NULL	NULL	Merged:International Immunopharmacology 
11588	1380-2933	NULL	NULL	NULL	Merged:Journal of Immunological Methods 
11590	1158-1336	NULL	NULL	NULL	Merged:Revue de Stomatologie et de Chirurgie Maxillo-faciale 
11592	1385-7258	NULL	NULL	NULL	Merged:Indagationes Mathematicae 
11599	0921-5956	NULL	NULL	NULL	Merged:Measurement 
11604	0278-2316	NULL	NULL	NULL	Merged:Antimicrobics and Infectious Diseases Newsletter 
11607	0019-9958	NULL	NULL	NULL	Now:Information and Computation 
11615	1069-0115	NULL	NULL	NULL	Merged:Information Sciences 
11616	1363-4127	NULL	NULL	NULL	Now: Journal of Information Security and Applications
11617	0020-0271	NULL	NULL	NULL	Now:Information Processing & Management 
11620	1742-6847	NULL	NULL	NULL	Now:Infosecurity 
11621	0020-0891	NULL	NULL	NULL	Now:Infrared Physics & Technology 
11627	0020-1650	NULL	NULL	NULL	Merged:Polyhedron 
11630	0073-8085	NULL	NULL	NULL	Merged:Inorganica Chimica Acta 
11631	0020-1790	NULL	NULL	NULL	Now:Insect Biochemistry and Molecular Biology 
11641	0266-612X	NULL	NULL	NULL	Now:Intensive and Critical Care Nursing 
11643	0252-7308	NULL	NULL	NULL	Merged:Computer Standards & Interfaces 
11645	0265-3036	NULL	NULL	NULL	Now:International Biodeterioration & Biodegradation 
11650	0892-8967	NULL	NULL	NULL	Merged:Contact Lens and Anterior Eye 
11654	0928-4346	NULL	NULL	NULL	Now:Hepatology Research 
11659	0020-7055	NULL	NULL	NULL	Now:Radiation Physics and Chemistry (1977) 
11667	0020-711X	NULL	NULL	NULL	Now:The International Journal of Biochemistry & Cell Biology 
11669	0020-7101	NULL	NULL	NULL	Now:International Journal of Medical Informatics 
11671	0262-5075	NULL	NULL	NULL	Now:Cement and Concrete Composites 
11693	0267-3762	NULL	NULL	NULL	Now:Journal of the European Ceramic Society 
11698	0192-0561	NULL	NULL	NULL	Merged:International Immunopharmacology 
11704	1466-6049	NULL	NULL	NULL	Merged:Solid State Sciences 
11705	0020-7322	NULL	NULL	NULL	Now:Arthropod Structure & Development 
11709	0020-7357	NULL	NULL	NULL	Now:International Journal of Machine Tools and Manufacture 
11711	0020-7373	NULL	NULL	NULL	Now:International Journal of Human-Computer Studies 
11713	0020-7381	NULL	NULL	NULL	Now:International Journal of Mass Spectrometry and Ion Processes 
11715	0141-5530	NULL	NULL	NULL	Now:Materials & Design 
11719	1433-1128	NULL	NULL	NULL	Merged:International Journal of Medical Microbiology 
11723	0260-4779	NULL	NULL	NULL	Now:Museum Management and Curatorship 
11725	0375-9458	NULL	NULL	NULL	Now:Neuropharmacology 
11727	0047-0740	NULL	NULL	NULL	Now:International Journal of Radiation Applications and Instrumentation. Part B. Nuclear Medicine and Biology 
11731	0300-9785	NULL	NULL	NULL	Now:International Journal of Oral and Maxillofacial Surgery 
11732	1072-3471	NULL	NULL	NULL	Now:International Journal of Orthodontia and Oral Surgery (1919) 
11757	0148-9062	NULL	NULL	NULL	Now:International Journal of Rock Mechanics and Mining Sciences 
11759	0261-7277	NULL	NULL	NULL	Now:Soil Dynamics and Earthquake Engineering 
11764	0194-6595	NULL	NULL	NULL	Now:International Journal of Law, Crime and Justice 
11766	0143-2516	NULL	NULL	NULL	Now:Tourism Management 
11768	1075-4210	NULL	NULL	NULL	Now:Disaster Management & Response 
11769	0020-7837	NULL	NULL	NULL	Now:The International Information & Library Review 
11786	1297-9562	NULL	NULL	NULL	Now:IRBM 
11802	0221-0363	NULL	NULL	NULL	Now:Journal de Radiologie Diagnostique et Interventionnelle 
11808	0993-9857	NULL	NULL	NULL	Now:Journal Européen des Urgences et de Réanimation 
11819	0197-0070	NULL	NULL	NULL	Now:Journal of Adolescent Health 
11824	0731-7247	NULL	NULL	NULL	Now:Journal of African Earth Sciences (and the Middle East) 
11827	0021-8634	NULL	NULL	NULL	Now:Biosystems Engineering 
11832	0021-8707	NULL	NULL	NULL	Now:Journal of Allergy and Clinical Immunology 
11853	0368-1319	NULL	NULL	NULL	Now:Atherosclerosis 
11855	0021-9169	NULL	NULL	NULL	Now:Journal of Atmospheric and Solar-Terrestrial Physics 
11859	0090-5720	NULL	NULL	NULL	Now:The Journal of Socio-Economics 
11860	0165-022X	NULL	NULL	NULL	Now:Journal of Proteomics 
11861	0092-1157	NULL	NULL	NULL	Now:Biologicals 
11863	0141-5425	NULL	NULL	NULL	Now:Medical Engineering & Physics 
11873	1364-9825	NULL	NULL	NULL	Now:European Journal of Oncology Nursing 
11878	0888-6296	NULL	NULL	NULL	Now:Journal of Cardiothoracic and Vascular Anesthesia 
11889	1006-1266	NULL	NULL	NULL	Now:Mining Science and Technology (China) 
11894	0378-4347	NULL	NULL	NULL	Now:Journal of Chromatography B 
11895	0021-9681	NULL	NULL	NULL	Now:Journal of Clinical Epidemiology 
11901	1353-1131	NULL	NULL	NULL	Now:Journal of Forensic and Legal Medicine 
11909	0095-8522	NULL	NULL	NULL	Now:Journal of Colloid and Interface Science 
11910	0021-9800	NULL	NULL	NULL	Now:Journal of Combinatorial Theory, Series A  and  Journal of Combinatorial Theory, Series B 
11916	0368-1742	NULL	NULL	NULL	Now:Journal of Comparative Pathology 
11921	0149-936X	NULL	NULL	NULL	Now:Clinical Imaging 
11947	0891-6632	NULL	NULL	NULL	Now:Journal of Diabetes and its Complications 
11949	0892-0591	NULL	NULL	NULL	Now:Journal of Interactive Marketing 
11958	0368-1874	NULL	NULL	NULL	Now:Journal of Electroanalytical Chemistry and Interfacial Electrochemistry 
11968	1085-7443	NULL	NULL	NULL	Merged:Energy Economics 
11978	0896-6974	NULL	NULL	NULL	Merged:Epilepsy Research 
11992	0385-6380	NULL	NULL	NULL	Now:Journal of Fermentation and Bioengineering 
12005	0748-5514	NULL	NULL	NULL	Merged:Free Radical Biology and Medicine 
12020	0198-7593	NULL	NULL	NULL	Now:Heat Recovery Systems and CHP 
12038	0022-1902	NULL	NULL	NULL	Merged:Polyhedron 
12054	0022-2143	NULL	NULL	NULL	Now:Translational Research 
12056	0929-7855	NULL	NULL	NULL	Merged:Prostaglandins & Other Lipid Mediators 
12062	0022-2364	NULL	NULL	NULL	Now:Journal of Magnetic Resonance, Series A and  Journal of Magnetic Resonance, Series B 
12076	0301-0503	NULL	NULL	NULL	Now:Journal of Cranio-Maxillofacial Surgery 
12077	0378-3804	NULL	NULL	NULL	Now:Journal of Materials Processing Technology 
12078	0022-2569	NULL	NULL	NULL	Now:Mechanism and Machine Theory 
12088	0745-7138	NULL	NULL	NULL	Now:Journal of Network and Computer Applications 
12092	0304-5102	NULL	NULL	NULL	Now:Journal of Molecular Catalysis A:Chemical  and   Journal of Molecular Catalysis B:Enzymatic 
12095	0263-7855	NULL	NULL	NULL	Now:Journal of Molecular Graphics and Modelling 
12100	0166-1280	NULL	NULL	NULL	Now:Computational and Theoretical Chemistry 
12104	1007-4376	NULL	NULL	NULL	Now:Journal of Biomedical Research 
12105	1003-9953	NULL	NULL	NULL	Now:Journal of Energy Chemistry 
12117	0891-3919	NULL	NULL	NULL	Now:Journal of Nuclear Energy. Part A. Reactor Science and  Journal of Nuclear Energy. Part B. Reactor Technology
12119	0368-3273	NULL	NULL	NULL	Merged:Journal of Nuclear Energy. Parts A/B. Reactor Science and Technology Previously part of:Journal of Nuclear Energy (1954) 
12123	0022-3182	NULL	NULL	NULL	Now:Journal of Nutrition Education and Behavior 
12126	0376-6349	NULL	NULL	NULL	Now:Safety Science 
12134	1361-3111	NULL	NULL	NULL	Now:International Journal of Orthopaedic and Trauma Nursing 
12137	1443-8461	NULL	NULL	NULL	Now:International Journal of Osteopathic Medicine 
12151	0160-5402	NULL	NULL	NULL	Now:Journal of Pharmacological and Toxicological Methods 
12154	0047-2670	NULL	NULL	NULL	Now:Journal of Photochemistry and Photobiology A:Chemistry and  Journal of Photochemistry and Photobiology B:Biology 
12195	0140-1750	NULL	NULL	NULL	Now:Journal of Social and Evolutionary Systems 
12200	0743-9547	NULL	NULL	NULL	Now:Journal of Asian Earth Sciences 
12203	0022-4731	NULL	NULL	NULL	Now:The Journal of Steroid Biochemistry and Molecular Biology 
12222	0002-7138	NULL	NULL	NULL	Now:Journal of the American Academy of Child & Adolescent Psychiatry 
12226	0361-1124	NULL	NULL	NULL	Now:Annals of Emergency Medicine 
12229	0002-8223	NULL	NULL	NULL	Now:Journal of the Academy of Nutrition and Dietetics 
12231	1531-0914	NULL	NULL	NULL	Merged:The Journal of Hand Surgery 
12238	0165-1838	NULL	NULL	NULL	Now:Autonomic Neuroscience 
12239	0141-7037	NULL	NULL	NULL	Now:Contact Lens and Anterior Eye 
12240	0368-1653	NULL	NULL	NULL	Now:Journal of the Taiwan Institute of Chemical Engineers 
12245	0368-2242	NULL	NULL	NULL	Now:Clinical Radiology 
12246	0015-7368	NULL	NULL	NULL	Now:Science & Justice 
12251	0022-5088	NULL	NULL	NULL	Now:Journal of Alloys and Compounds 
12269	0022-5320	NULL	NULL	NULL	Now:Journal of Ultrastructure and Molecular Structure Research 
12270	1005-8850	NULL	NULL	NULL	Now:International Journal of Minerals, Metallurgy and Materials 
12272	1083-0081	NULL	NULL	NULL	Now:Journal of the Association for Vascular Access 
12277	0022-5371	NULL	NULL	NULL	Now:Journal of Memory and Language 
12287	0953-9859	NULL	NULL	NULL	Now:Wilderness & Environmental Medicine 
12296	1042-8143	NULL	NULL	NULL	Merged:International Journal of Human-Computer Studies 
12306	1381-141X	NULL	NULL	NULL	Merged:Chemometrics and Intelligent Laboratory Systems 
12310	0304-3924	NULL	NULL	NULL	Now:Landscape and Urban Planning 
12315	0938-765X	NULL	NULL	NULL	Now:Medical Laser Application 
12316	0768-9179	NULL	NULL	NULL	Now:Le Pharmacien Hospitalier et Clinicien 
12325	0094-4548	NULL	NULL	NULL	Now:International Communications in Heat and Mass Transfer 
12329	0364-6408	NULL	NULL	NULL	Now:Library Collections, Acquisitions, and Technical Services 
12337	0301-6226	NULL	NULL	NULL	Now:Livestock Science 
12339	0966-8349	NULL	NULL	NULL	Merged:Computers & Operations Research 
12369	0390-6035	NULL	NULL	NULL	Now:Materials Chemistry and Physics 
12373	0025-5416	NULL	NULL	NULL	Now:Materials Science and Engineering:A and  Materials Science and Engineering:B 
12379	0920-2307	NULL	NULL	NULL	Now:Materials Science and Engineering:C and  Materials Science and Engineering:R:Reports 
12383	0270-0255	NULL	NULL	NULL	Now:Mathematical and Computer Modelling 
12417	0221-8747	NULL	NULL	NULL	Now:Bone 
12422	0026-0800	NULL	NULL	NULL	Now:Materials Characterization 
12434	0047-7206	NULL	NULL	NULL	Now:Micron and Microscopica Acta 
12437	0927-6513	NULL	NULL	NULL	Merged:Microporous and Mesoporous Materials 
12439	0308-5953	NULL	NULL	NULL	Now:Microprocessors and Microsystems 
12445	0167-9031	NULL	NULL	NULL	Merged:Engineering Geology 
12453	0169-328X	NULL	NULL	NULL	Merged:Brain Research 
12458	1357-4310	NULL	NULL	NULL	Now:Trends in Molecular Medicine 
12466	0165-7992	NULL	NULL	NULL	Merged:Mutation Research/Genetic Toxicology and Environmental Mutagenesis 
12468	0167-8817	NULL	NULL	NULL	Now:Mutation Research/DNA Repair 
12470	0165-1161	NULL	NULL	NULL	Merged:Mutation Research/Genetic Toxicology and Environmental Mutagenesis 
12472	0165-1218	NULL	NULL	NULL	Merged:Mutation Research/Genetic Toxicology and Environmental Mutagenesis 
12475	0165-1110	NULL	NULL	NULL	Now:Mutation Research/Reviews in Mutation Research 
12484	0965-9773	NULL	NULL	NULL	Merged:Acta Materialia and  Scripta Materialia 
12488	0077-7579	NULL	NULL	NULL	Now:Journal of Sea Research 
12499	1055-8330	NULL	NULL	NULL	Merged:Experimental Neurology 
12512	1058-6741	NULL	NULL	NULL	Merged:Methods 
12515	1545-5343	NULL	NULL	NULL	Now:Neurotherapeutics 
12520	0921-8696	NULL	NULL	NULL	Merged:Neuroscience Research 
12533	0029-1021	NULL	NULL	NULL	Now:NDT International 
12537	1042-752X	NULL	NULL	NULL	Now:The North American Journal of Economics and Finance 
12540	0191-815X	NULL	NULL	NULL	Now:Waste Management 
12542	0550-306X	NULL	NULL	NULL	Merged:Nuclear Data Sheets 
12543	0090-550X	NULL	NULL	NULL	Merged:Nuclear Data Sheets 
12545	0167-899X	NULL	NULL	NULL	Now:Fusion Engineering and Design 
12546	0369-643X	NULL	NULL	NULL	Now:Nuclear Instruments and Methods 
12552	0029-5582	NULL	NULL	NULL	Now:Nuclear Physics A and  Nuclear Physics B 
12557	0369-5816	NULL	NULL	NULL	Now:Nuclear Engineering and Design 
12558	0145-224X	NULL	NULL	NULL	Now:Nuclear Tracks 
12578	0302-184X	NULL	NULL	NULL	Now:Ocean and Shoreline Management 
12582	0143-7127	NULL	NULL	NULL	Now:Oil and Chemical Pollution 
12586	1085-5637	NULL	NULL	NULL	Now:Operative Techniques in Thoracic and Cardiovascular Surgery 
12602	0374-3926	NULL	NULL	NULL	Now:Optics & Laser Technology 
12611	0030-4220	NULL	NULL	NULL	Now:Oral Surgery, Oral Medicine, Oral Pathology, Oral Radiology, and Endodontology 
12619	0030-5073	NULL	NULL	NULL	Now:Organizational Behavior and Human Decision Processes 
12643	0169-4758	NULL	NULL	NULL	Now:Trends in Parasitology 
12649	0190-2040	NULL	NULL	NULL	Now:Patient Education and Counseling 
12676	0031-6865	NULL	NULL	NULL	Merged:European Journal of Pharmaceutical Sciences 
12677	1461-5347	NULL	NULL	NULL	Merged:Drug Discovery Today 
12680	0031-6989	NULL	NULL	NULL	Now:Pharmacological Research 
12682	0362-5478	NULL	NULL	NULL	Merged:Pharmacology & Therapeutics 
12683	0306-039X	NULL	NULL	NULL	Merged:Pharmacology & Therapeutics 
12684	0362-5486	NULL	NULL	NULL	Merged:Pharmacology & Therapeutics 
12690	0031-8663	NULL	NULL	NULL	Now:ISPRS Journal of Photogrammetry and Remote Sensing 
12693	0031-8914	NULL	NULL	NULL	Now:Physica A:Statistical Mechanics and its Applications and  Physica B+C 
12696	0378-4363	NULL	NULL	NULL	Now:Physica B:Condensed Matter and  Physica C:Superconductivity Previously part of:Physica 
