@issn_type_id:=idns_id
7
@eissn_type_id:=idns_id
6
@doi_type_id:=idns_id
8
@e_issn2_type_id:=idns_id
91
ti_id	ISBN	EISSN	DOI	EISSN2	tipp_coverage_note
3476	1758-3209	NULL	NULL	NULL	Includes Bulletin of the Royal College of Psychiatrists and the Psychiatric Bulletin . From January 2014, The Psychiatrist will be changing its name (and ISSNs)�and reverting back to Psychiatric Bulletin.� It will also be migrating to Open Access
3546	2043-8567	NULL	NULL	NULL	Formerly British Scholar
3548	1753-8548	NULL	NULL	NULL	Formerly History and Computing
3550	1755-0882	NULL	NULL	NULL	Formerly Politics and Ethics Review
3552	1748-538X	NULL	NULL	NULL	Formerly Scottish Economic and Social History
3560	1746-9600	NULL	NULL	NULL	Now: HIV therapy
3561	1746-0875	NULL	NULL	NULL	Now: Clinical Lipidology
3565	1746-0816	NULL	NULL	NULL	Now: International Journal of Clinical Rheumatology
3581	1475-0708	NULL	NULL	NULL	Now: Clinical Practice
3589	0020-5893	NULL	NULL	NULL	Now Publish by CUP
3628	0020-8590	NULL	NULL	NULL	Formerly Bulletin of the International Institute of Social History
3641	1060-1503	NULL	NULL	NULL	Formerly Browning Institute Studies
3673	0017-3835	NULL	NULL	NULL	A subscription to Greece & Rome includes an annual supplement of New Surveys in the Classics. - This supplement will be available like any other issue of Greece & Rome
3726	1816-3831	NULL	NULL	NULL	Formerly Revue Internationale de la Croix-Rouge - International Review of the Red Cross ISSN 1560-7755
3797	NULL	NULL	NULL	NULL	Merged with Proceedings of the Institution of Civil Engineers Part I and Part III to form Proceedings - Institution of Civil Engineers. (Proceedings of the Institution of Civil Engineers Part III not included in license)
3800	NULL	NULL	NULL	NULL	Merged with Selected Engineering Papers to form Journal of the Institution of Civil Engineers\n
3801	NULL	NULL	NULL	NULL	Merged with Minutes of the Proceedings (Institution of Civil Engineers) to form Journal of the Institution of Civil Engineers\n
3804	NULL	NULL	NULL	NULL	(includes 2 special issues)
4005	0020-7152	NULL	NULL	NULL	now: Comparative Sociology
4036	0021-9096	NULL	NULL	NULL	now: African and Asian Studies
4066	0169-796X	NULL	NULL	NULL	now: Perspectives on Global Development and Technology 2002-
4381	1422-4933	NULL	NULL	NULL	Now:NeuroSignals
4382	0006-3126	NULL	NULL	NULL	Now:Neonatology
4394	0177-9990	NULL	NULL	NULL	Now:Viszeralmedizin / Visceral Medicine
4395	1422-2795	NULL	NULL	NULL	Now:Public Health Genomics
4398	0301-0171	NULL	NULL	NULL	Now:Cytogenetic and Genome Research
4415	1018-7782	NULL	NULL	NULL	Merged in 2003 to Nephron Experimental Nephrology
4419	1021-7096	NULL	NULL	NULL	Now:Forschende KomplementÃ¤rmedizin/Complementary Medicine
4425	0301-0147	NULL	NULL	NULL	Now:Pathophysiology of Haemostasis and Thrombosis
4426	1422-9528	NULL	NULL	NULL	Merged in 2006 to Cardiology
4427	0301-0163	NULL	NULL	NULL	Now:Hormone Research in Paediatrics
4431	1424-5485	NULL	NULL	NULL	Now:Transfusion Medicine and Hemotherapy
4444	1661-7800	NULL	NULL	NULL	Formerly Biology of Neonate
4452	1424-8522	NULL	NULL	NULL	Now:Neuroembryology and Aging
4473	1662-4246	NULL	NULL	NULL	Formerly Community Genetics
4477	1422-2868	NULL	NULL	NULL	Now:Skin Pharmacology and Physiology
4484	1662-6664	NULL	NULL	NULL	Formerly Chirurgische Gastroenterologie
4572	1352-4658	NULL	NULL	NULL	Formerly Behavioural Psychotherapy Volumes 6 (1978) - 21 issue 2 (1993), B.A.B.P. Bulletin Volumes 1 (1973) - 5 (1977))\n
4581	0950-2688	NULL	NULL	NULL	Formerly Journal of Hygiene\n
4586	0016-6723	NULL	NULL	NULL	Formerly Genetical Research (1960-2007)\n
4632	0217-7811	NULL	NULL	NULL	Absorbed
4633	0950-4737	NULL	NULL	NULL	Absorbed
4634	0950-5636	NULL	NULL	NULL	Absorbed
4962	2047-9700	NULL	NULL	NULL	Formerly Journal of Management & Marketing in Healthcare
4976	0022-2151	NULL	NULL	NULL	Formerly The Journal of Laryngology and Rhinology (1887-1891); The Journal of Laryngology, Rhinology, and Otology (1892-1920). Includes 2 supplements
5013	1755-6910	NULL	NULL	NULL	Formerly Transactions of the Royal Society of Edinburgh: Earth Sciences (1980 - 2007), Transactions of the Royal Society of Edinburgh (1788 - 1979)
5022	2045-7960	NULL	NULL	NULL	Formerly Epidemiologia e Psichiatria Sociale
5132	1521-9615	NULL	NULL	NULL	Absorbed: Computers in Physics & IEEE computational science & engineering 
6174	0007-0599	NULL	NULL	NULL	Now published as Corrosion Engineering, Science and Technology
6183	2042-3489	NULL	NULL	NULL	Formerly Watsonia: Journal of the Botanical Society of the British Isles
6216	0084-6589	NULL	NULL	NULL	Now: Annual Review of Biophysics; Previously: Annual Review of Biophysics and Biomolecular Structure 1992-2007; Annual Review of Biophysics and Biophysical Chemistry 1985-1991; Annual Review of Biophysics and Bioengineering 1972-1984
6252	1750-2705	NULL	NULL	NULL	Formerly Proceedings of the Cambridge Philologhical Society (New Series)
6277	0885-0429	NULL	NULL	NULL	Now: Children's Literature Association Quarterly 
6424	0217-4472	NULL	NULL	NULL	Now: Journal of Southeast Asian Economies
6446	2151-7363	NULL	NULL	NULL	Formerly NWSA Journal till 2009
6671	0031-7837	NULL	NULL	NULL	Now: Philippine Studies: Historical and Ethnographic Viewpoints
7059	1878-4755	NULL	NULL	NULL	now: Multisensory Research 2013-present; previously: Spatial Research 1985-2009
7088	0925-0972	NULL	NULL	NULL	now: Security and Human Rights 2008
7089	1389-9791	NULL	NULL	NULL	now: Journal of Empirical Theology
7090	1388-9036	NULL	NULL	NULL	now: International Community Law Review 
7093	0028-2030	NULL	NULL	NULL	now: Church History and Religious Culture
7094	0028-2960	NULL	NULL	NULL	now: Animal Biology 2003-Present; previously: Netherlands Journal of Zoology 1968-2003; Archives Néerlandaises de Zoologie 1935-1967
7095	1567-7125	NULL	NULL	NULL	now: International Community Law Review 
7096	0169-1015	NULL	NULL	NULL	now: Multisensory Research 2013-present; previously: Seeing and Perceiving 2010-2012
7103	0193-936X	NULL	NULL	NULL	A subscription to the American Journal of Epidemiology includes Epidemiologic Reviews
7108	1753-0784	NULL	NULL	NULL	Included as part of a subscription to Nephrology Dialysis Transplantation. Previously NDT Plus (2008-2011)
7110	1052-6773	NULL	NULL	NULL	Included in JNCI Journal of the National Cancer Institute subscription
7275	1020-7635	NULL	NULL	NULL	Now: IMF Economic Review. Previously IMF Staff Papers (1999-2010)
7282	1741-2439	NULL	NULL	NULL	Merged with Journal of Targeting, Measurement and Analysis for Marketing under new title Journal of Marketing Analytics.
7295	0967-3237	NULL	NULL	NULL	Merged with Journal of Direct, Data and Digital Marketing Practice under new title Journal of Marketing Analytics.
7348	0092-4725	NULL	NULL	NULL	Absorbed
7349	0022-1724	NULL	NULL	NULL	Absorbed
7385	2161-9549	NULL	NULL	NULL	Formerly Journal of the North American Benthological Society
7389	1-934151-14-9	NULL	NULL	NULL	OA. It is a book series. ISBN included
7390	978-1-934151	NULL	NULL	NULL	OA. It is a book series. ISBN included
7395	1475-3898	NULL	NULL	NULL	now: BMJ Quality and Safety; previously: Quality and Safety in Health Care 2002-2010; Quality in Health Care 1992-2001
7547	1754-0453	NULL	NULL	NULL	Now Menopause International: The Integrated Journal of Postreproductive Health
7557	2155-2851	NULL	NULL	NULL	Formerly Accounting, Business & Financial History
7561	0374-0463	NULL	NULL	NULL	Formerly Acta Linguistica
7575	0954-416X	NULL	NULL	NULL	Absorbed
7614	2325-7962	NULL	NULL	NULL	Formerly Journal of the Society of Archivists
7635	1608-1625	NULL	NULL	NULL	Formerly Asia-Pacific Journal of Accounting
7644	0004-8402	NULL	NULL	NULL	Formerly Australasian Journal of Psychology and Philosophy
7664	1368-9886	NULL	NULL	NULL	Formerly British Elections and Parties Yearbook (1991-1996).  Now Journal of Elections, Public Opinion & Parties
7667	0968-1221	NULL	NULL	NULL	Absorbed
7710	1466-2043	NULL	NULL	NULL	Formerly Journal of Commonwealth & Comparative Politics (1974-1997)
7724	1351-4393	NULL	NULL	NULL	Formerly Communist Economies (1989-1990). Now Post-Communist Economies.
7747	2158-2041	NULL	NULL	NULL	Formerly Twenty-First Century Society: Journal of the Academy of Social Sciences (2006 - 2010) 
7755	1478-601X	NULL	NULL	NULL	Formerly The Justice Professional (1986 - 2002) 
7766	1529-5036	NULL	NULL	NULL	Formerly Critical Studies in Mass Communications (1984-1999)
7777	1473-5784	NULL	NULL	NULL	Formerly Renaissance and Modern Studies (1957-2001)
7796	1462-6268	NULL	NULL	NULL	Formerly Intelligent Tutoring Media (1990-1997)
7850	2155-0085	NULL	NULL	NULL	Formerly Ethics, Place & Environment: A Journal of Philosophy & Geography (1998 - 2010) \n
7889	0194-4363	NULL	NULL	NULL	Formerly Journal of the American Institute of Planners (1935 - 1978)
7896	1478-1158	NULL	NULL	NULL	Formerly Pacifica Review: Peace, Security & Global Change
7940	1566-0974	NULL	NULL	NULL	Formerly International Journal for Consumer and Product Safety (1994-1999).  Now International Journal of Injury Control and Safety Promotion
7966	2151-3732	NULL	NULL	NULL	Formerly International Journal of Biodiversity Science & Management
7996	1743-727X	NULL	NULL	NULL	Formerly Westminster Studies in Education (1978 - 2004) 
8039	1369-6815	NULL	NULL	NULL	Formerly African Languages and Cultures
8043	1052-9950	NULL	NULL	NULL	Formerly Journal of Independent Social Work (1987-1991).  Now Psychoanalytic Social Work.
8046	1936-1610	NULL	NULL	NULL	Formerly Journal of Security Education (2004 - 2007) 
8082	1352-3279	NULL	NULL	NULL	Formerly Journal of Communist Studies. Now East European Politics
8092	1478-2804	NULL	NULL	NULL	Formerly Journal of European Area Studies (1999 - 2002) and Journal of Area Studies (1992 - 1998)
8098	1540-1383	NULL	NULL	NULL	Formerly known as Journal of Psychotherapy in Independent Practice (2000 - 2000) ; The Psychotherapy Patient (1984 - 2004) ; Journal of Clinical Activities, Assignments & Handouts in Psychotherapy Practice (2001 - 2003)
8150	1935-9705	NULL	NULL	NULL	Formerly Journal of Gay & Lesbian Psychotherapy (1988-2007)
8162	2163-9159	NULL	NULL	NULL	Formerly Journal of Global Academy of Marketing Science
8171	1553-8346	NULL	NULL	NULL	Formerly Journal of HIV/AIDS Prevention and Education for Adolescents & Children.
8191	1933-1681	NULL	NULL	NULL	Formerly Journal of E-Government (2004 - 2007)
8201	2169-9763	NULL	NULL	NULL	Formerly Journal of Comparative Social Welfare (2006-2012)
8218	1936-1653	NULL	NULL	NULL	Formerly Journal of Gay & Lesbian Issues in Education (2003 - 2008)
8222	1532-5024	NULL	NULL	NULL	Formerly Journal of Personal and Interpersonal Loss (1996-2000). Incorporates Stress, Trauma, and Crisis (2004-2006)
8258	0022-3891	NULL	NULL	NULL	Formerly Journal of Projective Techniques and Personality Assessment (1963 - 1970), Journal of Projective Techniques (1950 - 1962), Rorschach Research Exchange and Journal of Projective Techniques (1947 - 1949), Rorschach Research Exchange (1936 - 1946) \n\n
8263	1558-8742	NULL	NULL	NULL	Formerly The Social Policy Journal (2002 - 2006) 
8299	0022-4499	NULL	NULL	NULL	Formerly Annual Review of Sex Research (1990 - 2007)
8312	1934-9637	NULL	NULL	NULL	Formerly American Journal of Pastoral Counseling
8340	1554-477X	NULL	NULL	NULL	Formerly Women & Politics (1980 - 2004) 
8349	0094-7598	NULL	NULL	NULL	Formerly Zoning Digest (1948 - 1973).  Now Planning & Environmental Law
8423	1080-9716	NULL	NULL	NULL	Formerly Journal of International and Comparative Social Welfare (1984 - 1994).  Now Journal of Comparative Social Welfare
8430	1361-455X	NULL	NULL	NULL	incorporated into New Review of Information Networking (1900 - current) \n
8437	1901-2276	NULL	NULL	NULL	Formerly Nordisk Psykologi (1949 - 2005) 
8446	0264-5491	NULL	NULL	NULL	Formerly Farm Economist (1972 - 1995).  Now Oxford Development Studies
8481	2156-7689	NULL	NULL	NULL	Formerly Totalitarian Movements and Political Religions (2000 - 2010) 
8524	0886-0246	NULL	NULL	NULL	Formerly Reading World (1971 - 1985) and Journal of the Reading Specialist (1961 - 1971).  Now  \nLiteracy Research and Instruction
8537	1479-4802	NULL	NULL	NULL	Formerly Advances in Mathematics Education
8616	1937-1918	NULL	NULL	NULL	Formerly Journal of Health & Social Policy (1989 - 2006)
8636	1018-9203	NULL	NULL	NULL	Formerly LVSA: Byblad (1981 - 1991) and Taalfasette (1965 - 1980).  Now Southern African Linguistics and Applied Language Studies 
8751	0309-4227	NULL	NULL	NULL	Merged with The Conservator and continued as Journal of the Institute of Conservation 
8752	1747-0218	NULL	NULL	NULL	Formerly known as The Quarterly Journal of Experimental Psychology Section A and The Quarterly Journal of Experimental Psychology Section B
8771	1478-3363	NULL	NULL	NULL	Formerly Total Quality Management (1990-2002)
8775	2156-8316	NULL	NULL	NULL	Formerly Tourism and Hospitality Planning & Development (2004 - 2010) 
8836	2168-3565	NULL	NULL	NULL	Formerly Journal of Sustainable Agriculture (1990 - 2012) 
8863	1532-4982	NULL	NULL	NULL	Formerly Arid Soil Research and Rehabilitation
8865	2168-1015	NULL	NULL	NULL	Formerly Journal of the Chinese Institute of Industrial Engineers (1900 - 2012). 
8872	0005-0326	NULL	NULL	NULL	Formerly Surveyor (1900-1921) Now merged with Cartography to become Journal of Spatial Science.
8884	1359-4869	NULL	NULL	NULL	Formerly Transactions of the Biological Society of Edinburgh (1844-1990).  Currently Plant Ecology & Diversity.
8890	0069-0805	NULL	NULL	NULL	Merged with Australian Survey to form Journal of Spatial Science
8897	1028-6608	NULL	NULL	NULL	Formerly Civil Engineering Systems
8903	1545-3669	NULL	NULL	NULL	Formerly Cogeneration and Competitive Power Journal (1985-2003).  Now Distributed Generation & Alternative Energy Journal (2011-)
8916	1747-6933	NULL	NULL	NULL	Formerly Complex Variables, Theory and Application: An International Journal
8928	0196-9722	NULL	NULL	NULL	Formerly Journal of Cybernetics (1971-1980)
8929	1947-6337	NULL	NULL	NULL	Formerly Ciencia y Tecnologia Alimentaria
8932	2156-3306	NULL	NULL	NULL	Formerly Cogeneration and Distributed Generation Journal (2004-2010) 
8974	2029-6991	NULL	NULL	NULL	Formerly Geodezija ir Kartografija
9019	1553-8362	NULL	NULL	NULL	Formerly:  Journal of Tree Fruit Production and Small Fruit Review
9028	1744-5760	NULL	NULL	NULL	Formerly Parallel Algorithms and Applications (1993 - 2004) 
9042	1931-5260	NULL	NULL	NULL	Formerly Journal of Vegetable Crop Production
9071	1542-8052	NULL	NULL	NULL	Formerly known as Journal of Nutrition in Recipe & Menu Development (1994 - 2005) 
9079	1077-1204	NULL	NULL	NULL	Formerly part of Environmental Letters.  Became Journal of Environmental Science and Health . Part A: Environmental Science and Engineering (1976 - 1989).  Now Journal of Environmental Science and Health, Part A: Toxic/Hazardous Substances and Environmental Engineering.
9087	2165-347X	NULL	NULL	NULL	Formerly Journal of Graphics, GPU and Games Tools
9105	1544-0478	NULL	NULL	NULL	Formerly Journal of Industrial Hemp
9110	1545-9624	NULL	NULL	NULL	Formerly AIHA Journal and Applied Occupational and Environmental Hygiene
9120	1741-5993	NULL	NULL	NULL	Formerly Sulfur Reports and Sulfur Letters\n
9150	1745-1000	NULL	NULL	NULL	Formerly Ophelia (1900 - 2004) and Sarsia (1900 - 2004) 
9157	1539-7734	NULL	NULL	NULL	Formerly Mechanics of Structures and Machines (1987 - 2002) 
9158	1537-6494	NULL	NULL	NULL	Formerly Mechanics of Composite Materials and Structures
9163	1542-1406	NULL	NULL	NULL	Formerly: Molecular Crystals and Liquid Crystals Science and Technology. Section A. Molecular Crystals and Liquid Crystals (1992 - 2001). Corrected start volume. Note: careful with this title: it changes names & then reverts back to this name several times. 
9166	1556-7265	NULL	NULL	NULL	Formerly Microscale Thermophysical Engineering (1997 - 2005) 
9198	1478-6435	NULL	NULL	NULL	Formerly Philosophical Magazine A (1997-2002) and Philosophical Magazine Part B (1997-2002)
9204	1755-0874	NULL	NULL	NULL	Formerly Botanical Journal of Scotland
9209	1558-3724	NULL	NULL	NULL	Formerly known as Journal of Macromolecular Science, Part C: Polymer Reviews (1966 - 2006)
9222	1774-7120	NULL	NULL	NULL	Formerly Revue Française de Génie Civil (1997 - 2004).  Added end data as title changed to European Journal of Environmental and Civil Engineering
9224	1279-5119	NULL	NULL	NULL	Formerly Revue Européenne de Génie Civil (2005 - 2007).  Currently European Journal of Environmental and Civil Engineering
9231	1542-2119	NULL	NULL	NULL	Formerly Separation and Purification Methods.
9238	1532-0383	NULL	NULL	NULL	Formerly Journal of Soil Contamination (1992 - 2000) 
9243	1018-3469	NULL	NULL	NULL	Formerly Journal of the Limnological Society of Southern Africa (1975 - 1988). Any volume published in 1999.  Currently African Journal of Aquatic Science
9244	2070-2620	NULL	NULL	NULL	Formerly Southern Hemisphere Forestry Journal (2007 - 2007) and The Southern African Forestry Journal (1997 - 2006) 
9252	1744-2508	NULL	NULL	NULL	Formerly Stochastics and Stochastic Reports (1989 - 2004) 
9261	1553-3174	NULL	NULL	NULL	Formerly Synthesis and Reactivity in Inorganic and Metal-Organic Chemistry (1971 - 2004) 
9272	1029-5925	NULL	NULL	NULL	Formerly South African Forestry Journal (1962 - 1996) and Journal of the South African Forestry Association (1938 - 1961).  Now Southern Forests: a Journal of Forest Science
9292	2165-8005	NULL	NULL	NULL	Formerly Acta Zoologica Lituanica
9293	2324-9935	NULL	NULL	NULL	Formerly Transportmetrica (2005 - 2012)
9294	2164-828X	NULL	NULL	NULL	Formerly Food Economics - Acta Agriculturae Scandinavica, Section C (2004-2011)
9610	0010-4531	NULL	NULL	NULL	Now ITNow. Content pre1995 is not available
9632	1554-1142	NULL	10.1111/(ISSN)1948-7177a	NULL	now: Design Management Journal
9633	0323-4320	NULL	10.1111/(ISSN)1521-401X	NULL	now: Clean - Soil, Air, Water
9634	1395-3907	NULL	10.1111/(ISSN)1600-0420	NULL	now: Acta Ophthalmologica
9635	0001-6772	NULL	10.1111/(ISSN)1365-201X	NULL	now: Acta Physiologica
9636	1057-9257	NULL	10.1002/(ISSN)1099-0712	NULL	now: Advanced Functional Materials
9637	0148-7299	NULL	10.1002/(ISSN)1096-8628	NULL	now: American Journal of Medical Genetics Part A
9641	1028-4001	NULL	10.1111/(ISSN)1442-2034	NULL	now: Surgical Practice
